source_id,release_date,title,package
fc,1986-10-08,バギー・ポッパー,true
fc,1986-10-23,うる星やつら ラムのウェディングベル,true
fc,1986-10-30,けいさんゲーム 算数4年,true
fc,1986-10-30,けいさんゲーム 算数5・6年,true
fc,1986-10-31,ミシシッピー殺人事件,true
fc,1986-11-11,スーパースターフォース 時空暦の秘密,true
fc,1986-11-12,ファミリートレーナー アスレチックワールド,true
fc,1986-11-13,オセロ,true
fc,1986-11-13,迷宮組曲 ミロンの大冒険,true
fc,1986-11-21,アイギーナの予言,true
fc,1986-11-21,元祖西遊記スーパーモンキー大冒険,true
fc,1986-11-21,長靴をはいた猫 世界一周80日大冒険,true
fc,1986-11-26,マッピーランド,true
fc,1986-11-26,怒,true
fc,1986-11-27,ドラゴンボール 神龍の謎,true
fc,1986-11-28,キャッスルエクセレント,true
fc,1986-12-05,タイガーヘリ,true
fc,1986-12-05,ディーヴァ ナーサティアの玉座,true
fc,1986-12-05,トランスフォーマー コンボイの謎,true
fc,1986-12-06,ホッターマンの地底探検,true
fc,1986-12-10,たけしの挑戦状,true
fc,1986-12-10,プロ野球ファミリースタジアム,true
fc,1986-12-11,シャーロック・ホームズ 伯爵令嬢誘拐事件,true
fc,1986-12-13,ドラえもん,true
fc,1986-12-15,魔鐘,true
fc,1986-12-16,メトロクロス,true
fc,1986-12-18,キングコング2 怒りのメガトンパンチ,true
fc,1986-12-18,マドゥーラの翼,true
fc,1986-12-20,レイラ,true
fc,1986-12-23,コスモジェネシス,true
fc,1986-12-23,ファミリートレーナー ランニングスタジアム,true
fc,1986-12-24,聖飢魔II 悪魔の逆襲,true
fc,1986-12-24,闘いの挽歌,true
fc,1986-12-26,アルカノイド,true
fc,1986-12-26,クレイジー・クライマー,true
fc,1986-12-26,時空の旅人,true
fc,1987-01-04,火の鳥 鳳凰編 我王の冒険,true
fc,1987-01-07,ドラゴンバスター,true
fc,1987-01-07,ラビリンス,true
fc,1987-01-26,ドラゴンクエストII 悪霊の神々,true
fc,1987-02-06,ザ・ブラックバス,true
fc,1987-02-10,新人類,true
fc,1987-02-14,飛龍の拳 奥義の書,true
fc,1987-02-26,ファミリートレーナー エアロビスタジオ,true
fc,1987-02-27,ポケットザウルス 十王剣の謎,true
fc,1987-03-05,いきなりミュージシャン,true
fc,1987-03-06,ミッキーマウス 不思議の国の大冒険,true
fc,1987-03-06,ロウ・オブ・ザ・ウエスト,true
fc,1987-03-14,CITY ADVENTURE タッチ MYSTERY OF TRIANGLE,true
fc,1987-03-17,花のスター街道,true
fc,1987-03-18,グーニーズ2 フラッテリー最後の挑戦,true
fc,1987-03-25,ロストワード・オブ・ジェニー 失われたメッセージ,true
fc,1987-03-27,南国指令!!スパイvsスパイ,true
fc,1987-04-02,さんまの名探偵,true
fc,1987-04-14,森田将棋,true
fc,1987-04-14,魔界島 七つの島大冒険,true
fc,1987-04-17,アルゴスの戦士 はちゃめちゃ大進撃,true
fc,1987-04-17,北斗の拳2 世紀末救世主伝説,true
fc,1987-04-17,熱血硬派くにおくん,true
fc,1987-04-24,ファミリージョッキー,true
fc,1987-05-19,妖怪倶楽部,true
fc,1987-05-24,ダイナマイトボウル,true
fc,1987-05-28,ファミリートレーナー ジョギングレース,true
fc,1987-06-05,アテナ,true
fc,1987-06-05,高橋名人のBUGってハニー,true
fc,1987-06-12,闘人魔境伝 ヘラクレスの栄光,true
fc,1987-06-19,ファミリーボクシング,true
fc,1987-06-20,うっでいぽこ,true
fc,1987-06-26,燃えろ!!プロ野球,true
fc,1987-06-27,北海道連鎖殺人 オホーツクに消ゆ,true
fc,1987-06-27,所さんのまもるもせめるも,true
fc,1987-06-30,未来神話ジャーヴァス,true
fc,1987-07-03,ゾンビハンター,true
fc,1987-07-07,-風魔伝,true
fc,1987-07-10,ブービーキッズ,true
fc,1987-07-16,ヘクター'87,true
fc,1987-07-17,ドラゴンスレイヤーIV ドラスレファミリー,true
fc,1987-07-18,ジャンボウ,true
fc,1987-07-20,ファンタジーゾーン,true
fc,1987-07-22,バツ&テリー 魔境の鉄人レース,true
fc,1987-07-30,カラオケスタジオ,true
fc,1987-07-30,チェスター・フィールド,true
fc,1987-07-31,ファミリートレーナー 迷路大作戦,true
fc,1987-08-07,ハイウェイスター,true
fc,1987-08-07,ボンバーキング,true
fc,1987-08-07,ミラクルロピット 2100年の大冒険,true
fc,1987-08-10,エルナークの財宝,true
fc,1987-08-10,聖闘士星矢 黄金伝説,true
fc,1987-08-11,ファミリーマージャン,true
fc,1987-08-11,囲碁九路盤対局,true
fc,1987-08-11,天下のご意見番 水戸黄門,true
fc,1987-08-11,魔城伝説II 大魔司教ガリウス,true
fc,1987-08-17,エアー・フォートレス,true
fc,1987-08-21,夢幻戦士ヴァリス,true
fc,1987-08-28,光の戦士フォトン,true
fc,1987-08-31,ファミリートレーナー マンハッタンポリス,true
fc,1987-09-03,アラビアンドリーム シェラザード,true
fc,1987-09-05,ゾイド 中央大陸の戦い,true
fc,1987-09-11,SWAT,true
fc,1987-09-11,デジタル・デビル物語 女神転生,true
fc,1987-09-18,つっぱり大相撲,true
fc,1987-09-18,スペランカーII 勇者への挑戦,true
fc,1987-09-22,バイオ戦士DAN インクリーザーとの闘い,true
fc,1987-09-24,スター・ゲイト,true
fc,1987-09-24,井出洋介名人の実戦麻雀,true
fc,1987-09-25,キョンシーズ2,true
fc,1987-09-25,沙羅曼蛇,true
fc,1987-09-26,快傑ヤンチャ丸,true
fc,1987-10-01,ミリピード 巨大昆虫の逆襲,true
fc,1987-10-09,ウルティマ 恐怖のエクソダス,true
fc,1987-10-13,エスパ冒険隊,true
fc,1987-10-13,覇邪の封印,true
fc,1987-10-20,インドラの光,true
