title,release_date,Package
レゴ バットマン3 ザ・ゲーム ゴッサムから宇宙へ,2015-04-02,true
ロデア・ザ・スカイソルジャー,2015-04-02,true
Super Toy Cars,2015-04-08,false
モンスターハンター フロンティアG7,2015-04-15,true
タッチ!amiibo いきなりファミコン名シーン,2015-04-23,false
ねじ巻きナイト2,2015-04-28,false
サイコロの森 3-in-1,2015-04-28,false
学びゲット!,2015-04-28,false
ゼノブレイドクロス,2015-04-29,true
ドラゴンクエストX いにしえの竜の伝承 オンライン,2015-04-30,true
スプラトゥーン,2015-05-28,true
99Seconds,2015-06-03,false
アルクラッシュ,2015-06-24,false
ジカンサタンサ,2015-06-24,false
ドキドキ手紙リレー,2015-06-24,false
マッドアタック! マックスVS泥々星人,2015-06-24,false
ミチコジャンプ!,2015-06-24,false
Abyss,2015-07-01,false
ヨッシー ウールワールド,2015-07-16,true
テトロボット AND CO.,2015-07-22,false
モンスターハンター フロンティアG8,2015-07-22,true
ガールズ・ライク・ロボッツ,2015-07-29,false
Devil's Third,2015-08-04,true
ゾンビディフェンス,2015-08-05,false
チャリ走 Ultra DX 世界ツアー,2015-08-05,false
ネバーアローン,2015-08-19,false
ブルームーン,2015-09-09,false
スーパーマリオメーカー,2015-09-10,true
Bit Trip Presents... Runner 2 リズム星人の爆走,2015-09-30,false
Darts Up,2015-09-30,false
ヒラメキパズル テトグラム,2015-09-30,false
みんなで宇宙ツアー チャリ走DX2,2015-10-14,false
イトル・デューの伝説 失われた島と謎の城,2015-10-14,false
99Moves,2015-10-21,false
Rock 'N Racing Off Road,2015-10-28,false
ガンマンストーリーHDコレクション,2015-10-28,false
ザ バインディング オブ アイザック:リバース,2015-10-28,false
レゴ ジュラシック・ワールド,2015-11-05,true
じっくり 絵心教室,2015-11-12,true
ディズニー インフィニティ3.0,2015-11-12,true
Tiny Thief,2015-11-13,false
Year Walk 最後の啓示,2015-11-13,false
ソード アンド ソルジャーズ,2015-11-13,false
U-EXPLORE SPACE ADVENTURES,2015-11-18,false
モンスターハンター フロンティアG9,2015-11-18,true
どうぶつの森 amiiboフェスティバル,2015-11-21,true
1001 Spikes,2015-11-25,false
Fullblast,2015-11-25,false
Runbow,2015-11-25,false
太鼓の達人 あつめて☆ともだち大作戦!,2015-11-26,true
LOST REAVERS,2015-12-02,false
ドットペイント,2015-12-02,false
ドラゴンクエストX オールインワンパッケージ (ver.1-3),2015-12-03,true
妖怪ウォッチダンス JUST DANCE スペシャルバージョン,2015-12-05,true
ソード アンド ソルジャーズ II,2015-12-09,false
ニヒラブラ,2015-12-09,false
Master Reboot,2015-12-16,false
モモンガ ピンボール アドベンチャー,2015-12-16,false
Minecraft: Wii U Edition,2015-12-17,true
FAST Racing NEO,2015-12-22,false
幻影異聞録♯FE,2015-12-26,true
アスディバインハーツ,2016-01-13,false
マリオテニス ウルトラスマッシュ,2016-01-28,true
ミニマリオ & フレンズ amiiboチャレンジ,2016-01-28,false
キューブライフ:アイランドサバイバル,2016-02-03,false
バードマニアパーティ,2016-02-17,false
銀星将棋 強天怒闘風雷神,2016-02-25,true
ゼルダの伝説 トワイライトプリンセス HD,2016-03-10,true
ポッ拳 POKKÉN TOURNAMENT,2016-03-18,true
Astral Breakers,2016-03-23,false
エリエット クエスト,2016-03-23,false
スターフォックス ガード,2016-04-21,true
スターフォックス ゼロ,2016-04-21,true
モンスターハンター フロンティアG10,2016-04-21,false
LEGO マーベル アベンジャーズ,2016-04-28,true
グレートレース,2016-06-01,false
Mighty No. 9,2016-06-21,false
マリオ&ソニック AT リオオリンピック,2016-06-23,true
ブロークドロップU,2016-06-29,false
ショベルナイト,2016-06-30,false
6180 the moon,2016-07-06,false
FreezeME,2016-07-06,false
スーパーロボマウス,2016-07-20,false
Grumpy Reaper,2016-08-24,false
シャンティ -リスキィ・ブーツの逆襲-,2016-08-31,false
ブロック ビルダー,2016-08-31,false
シャンティ -海賊の呪い-,2016-09-07,false
テラリア,2016-09-15,true
ペーパーマリオ カラースプラッシュ,2016-10-13,true
レゴ スター・ウォーズ/フォースの覚醒,2016-10-13,true
Ninja Pizza Girl,2016-11-09,false
トルクル(TorqueL),2016-11-09,false
モンスターハンター フロンティアZ,2016-11-09,false
ACE OF SEAFOOD,2016-11-30,false
ブルームーン2,2016-11-30,false
Run Run and Die,2016-12-14,false
プチコンBIG,2016-12-14,false
Teslapunk,2017-01-25,false
プランテラ ガーデンライフ,2017-02-01,false
かいぞくポップ,2017-02-22,false
ゼルダの伝説 ブレス オブ ザ ワイルド,2017-03-03,true
Back to Bed,2017-03-29,false
Rock 'N Racing GRAND PRIX,2017-03-29,false
CUP CRITTERS,2017-04-12,false
SHOOT THE BALL,2017-04-19,false
ドットアーティスト,2017-04-19,false
デッドハウス 再生,2017-05-31,false
レヴナントサーガ,2017-06-07,false
タロミア,2017-08-02,false
キューブライフ:ピクセルアクションヒーローズ,2017-08-09,false
Tachyon Project,2017-08-23,false
少女とロボット,2017-09-13,false
ドラゴンクエストX 5000年の旅路 遥かなる故郷へ オンライン,2017-11-16,true
Bit Dungeon+,2017-12-20,false
Chronicles of Teddy : Harmony of Exidus,2018-02-14,false
スペロイド,2018-03-07,false
ドラゴンクエストX オールインワンパッケージ (ver.1-4),2018-07-26,true
ドラゴンクエストX いばらの巫女と滅びの神 オンライン,2019-10-24,false
ドラゴンクエストX 天星の英雄たち オンライン,2021-11-11,false
