発売日,メーカー,タイトル,⭐クロスレビュー(評価),パッケージ併売,ジャンル,開発元,未使用,販売本数,プラットフォーム
1999-03-11,ユービーアイソフト,MONACO GRAND PRIX Racing Simulation2Monaco Grand PrixNARacing Simulation: Monaco Grand PrixUK,2,,その他,ユービーアイソフト,0,1,Dreamcast
1999-03-11,ワープ,リアルサウンド 〜風のリグレット〜,2,,その他,ワープ,0,1,Dreamcast
1999-03-18,ハドソン,北へ。 White Illumination,2,,その他,ハドソン,0,1,Dreamcast
1999-03-20,セガ,湯川元専務のお宝さがし,2,,その他,セガ,0,1,Dreamcast
1999-03-25,カプコン,MARVEL VS. CAPCOM CLASH OF SUPER HEROES,2,,その他,カプコン,0,1,Dreamcast
1999-03-25,セガ,ザ・ハウス・オブ・ザ・デッド2,2,,その他,セガ,0,1,Dreamcast
1999-03-25,セガ,スーパースピード・レーシングFlag to Flag,2,,その他,セガ,0,1,Dreamcast
1999-03-25,セガ,ブルー スティンガー,2,,その他,セガ,0,1,Dreamcast
1999-03-25,コーエー,三國志VI,2,,その他,コーエー,0,1,Dreamcast
1999-03-25,コーエー,信長の野望将星録 with パワーアップキット,2,,その他,コーエー,0,1,Dreamcast
1999-04-01,セガ,ゲットバスSega Bass Fishing,2,,その他,セガ,0,1,Dreamcast
1999-04-08,ショウエイシステム,デジタル競馬新聞マイトラックマン,2,,その他,ショウエイシステム,0,1,Dreamcast
1999-04-15,ランダムハウス,森田の最強Reversi,2,,その他,ランダムハウス,0,1,Dreamcast
1999-04-15,ランダムハウス,森田の最強将棋,2,,その他,ランダムハウス,0,1,Dreamcast
1999-04-22,メビウス/セガ,WEB MYSTERY 予知夢ヲ見ル猫,2,,その他,メビウス/セガ,0,1,Dreamcast
1999-04-29,イマジニアUbisoft,レッドラインレーサーSuzuki Alstare Extreme Racing,2,,その他,イマジニアUbisoft,0,1,Dreamcast
1999-05-27,ハドソン,ELEMENTAL GIMMICK GEAR,2,,その他,ハドソン,0,1,Dreamcast
1999-05-27,セガ,ダイナマイト刑事2Dynamite Cop,2,,その他,セガ,0,1,Dreamcast
1999-06-24,SNK,ザ・キング・オブ・ファイターズ DREAM MATCH 1999,2,,その他,SNK,0,1,Dreamcast
1999-06-24,セガ,ジャイアントグラム 〜全日本プロレス2 IN 日本武道館〜,2,,その他,セガ,0,1,Dreamcast
1999-06-24,イマジニア,生体兵器エクスペンダブルExpendableNAMillennium Soldier: ExpendablePAL,2,,その他,イマジニア,0,1,Dreamcast
1999-06-24,元気,首都高バトルTokyo Xtreme RacerNATokyo Highway ChallengePAL,2,,その他,元気,0,1,Dreamcast
1999-07-08,カプコン,ストリートファイターZERO3 サイキョー流道場Street Fighter Alpha 3,2,,その他,カプコン,0,1,Dreamcast
1999-07-08,CRIASC Games,バギーヒートTNN Motorsports HardCore Heat,2,,その他,CRIASC Games,0,1,Dreamcast
1999-07-08,コナミ,永世名人III 〜ゲームクリエイター吉村信弘の頭脳〜,2,,その他,コナミ,0,1,Dreamcast
1999-07-08,セガ,超発明BOYカニパン 〜暴走ロボトの謎!?〜,2,,その他,セガ,0,1,Dreamcast
