id,release_date,title,publisher,bit_memory,price
134,1988-07-22,カラテチャンプ,DECO[データイースト], ,3300
135,1988-07-29,らじかるぼんばー!! 地雷くん,ジャレコ, ,3200
136,1988-08-05,爆闘士パットンくん,ソフトプロ, ,2980
137,1988-08-10,ビッグチャレンジ! 柔道選手権,ジャレコ, ,3200
138,1988-08-10,谷川浩司の将棋指南II 新版 詰め将棋・次の一手,ポニーキャニオン, ,500
139,1988-08-10,シルヴィアーナ,パック・イン・ビデオ, ,3500
140,1988-08-19,コナミックテニス,コナミ, ,3300
141,1988-09-02,魔塔の崩壊,ポニーキャニオン, ,3000
142,1988-09-13,キック アンド ラン,タイトー, ,3300
143,1988-09-23,バーガータイム,DECO[データイースト], ,500
144,1988-10-04,パチコン,東芝EMI, ,500
145,1988-10-18,エッガーランド 創造への旅立ち,HAL研究所, ,500
146,1988-10-21,ダンディー ゼウオンの復活,ポニーキャニオン, ,3000
147,1988-10-21,ビッグチャレンジ! ドッグファイトスピリット,ジャレコ, ,3200
148,1988-10-22,ウルトラマン倶楽部,バンダイ, ,3300
149,1988-10-28,遊メイズ,タイトー, ,3300
150,1988-11-15,サムライソード,カプコン, ,3300
151,1988-11-18,アイスクライマー,任天堂, ,500
152,1988-11-18,ジャイラス,コナミ, ,3300
153,1988-11-18,パチンコGP,DECO[データイースト], ,3300
154,1988-11-29,じゃあまん探偵団 魔隣組,バンダイ, ,3300
155,1988-11-30,帰ってきたマリオブラザーズ,任天堂, ,400
156,1988-12-09,探偵 神宮寺三郎 危険な二人 前編,DECO[データイースト], ,3300
157,1988-12-09,VS.エキサイトバイク,任天堂, ,2500
158,1988-12-09,なんきんのアドベンチア,サンソフト[サン電子], ,3200
159,1988-12-23,タロット占い,スコーピオンソフト, ,2980
160,1989-01-14,ハレーウォーズ,タイトー, ,3300
161,1989-01-24,機動警察パトレイバー,バンダイ, ,3300
162,1989-02-03,レッキングクルー,任天堂, ,500
163,1989-02-10,探偵 神宮寺三郎 危険な二人 後編,DECO[データイースト], ,3300
164,1989-02-16,ロジャーラビット,KEMCO[コトブキシステム], ,3500
165,1989-02-23,タマ&フレンズ 3丁目大冒険,バンダイ, , 3300
166,1989-03-03,SDガンダムワールド ガチャポン戦士 スクランブルウォーズ マップコレクション,バンダイ, ,500
167,1989-03-20,光GENJI ローラーパニック,ポニーキャニオン, ,3200
168,1989-03-28,ビッグチャレンジ! ガンファイター,ジャレコ, ,3200
169,1989-03-30,パットパットゴルフ,パック・イン・ビデオ, ,3500
170,1989-04-28,フェアリーテイル,ソフトプロ, ,3200
171,1989-05-23,ファミコン探偵倶楽部 PARTII うしろに立つ少女 前編,任天堂, ,2524
172,1989-05-30,ピンボール,任天堂, ,500
173,1989-06-23,ビッグチャレンジ! GOGOボウリング,ジャレコ, ,3200
174,1989-06-30,ファミコン探偵倶楽部 PARTII うしろに立つ少女 後編,任天堂, ,2524
175,1989-08-10,マグマプロジェクト ハッカー,徳間書店, ,3500
176,1989-10-14,ふぁみこんむかし話 遊遊記 前編,任天堂, ,2524
177,1989-10-20,かっとび!童児,パック・イン・ビデオ, ,3500
178,1989-11-14,ふぁみこんむかし話 遊遊記 後編,任天堂, ,2524
179,1989-11-24,LUTTER,アテナ, ,500
180,1990-03-23,ファミマガDisk Vol.1 香港,徳間書店, ,2980
181,1990-04-02,ボンバーマン,ハドソン, ,500
182,1990-05-18,ゼビウス,ナムコ, ,500
183,1990-05-18,パックマン,ナムコ, ,500
184,1990-06-05,ナイトムーブ,任天堂, ,2600
185,1990-06-22,ギャラガ,ナムコ, ,500
186,1990-07-20,ギャラクシアン,ナムコ, ,500
187,1990-07-20,ディグダグ,ナムコ, ,500
188,1990-08-31,ディグダグII,ナムコ, ,500
189,1990-09-07,バックギャモン,任天堂, ,2524
190,1990-10-19,ファミマガDisk Vol.2 パニックスペース,徳間書店, ,500
191,1990-11-16,パズルボーイズ,アトラス, ,500
192,1990-12-07,石道,ヒロ, ,500
193,1991-01-25,ソロモンの鍵,テクモ, ,500
194,1991-02-22,ファミマガDisk Vol.3 オール1,徳間書店, ,500
195,1991-04-19,ファミマガDisk Vol.4 クロックス,徳間書店, ,500
196,1991-07-26,タイムツイスト 歴史のかたすみで… 前編,任天堂, ,2524
197,1991-07-26,タイムツイスト 歴史のかたすみで… 後編,任天堂, ,2524
198,1991-10-25,ファミマガDisk Vol.5 ぷよぷよ,徳間書店, ,600
199,1992-04-28,クルクルランド,任天堂, ,600
200,1992-12-22,じゃんけんディスク城,徳間書店, ,600
