発売日,メーカー,タイトル,⭐クロスレビュー(評価),パッケージ併売,ジャンル,開発元,ID,販売本数,ジャンル(詳細),プラットフォーム
2024-02-08,ソニー・インタラクティブエンタテインメント,HELLDIVERS 2（英語版）,32,YES,SPT,ソニー・インタラクティブエンタテインメント,6820_0m_4923,1,野球,その他
2024-02-08,Kalypso Media Japan,ジ・インクイジター（英語版）,-,,ETC,Kalypso Media Japan,0,1,その他,その他
2024-02-14,Aiming,ダンジョンに出会いを求めるのは間違っているだろうか バトル・クロニクル,-,,ETC,Aiming,0,1,その他,その他
2024-02-15,インティ・クリエイツ,GUNVOLT RECORDS 電子軌録律,-,YES,ETC,インティ・クリエイツ,0,1,その他,その他
2024-02-16,ユービーアイソフト,スカル アンド ボーンズ（英語版）,30,YES,AADV,ユービーアイソフト,0,1,海賊アクションアドベンチャー,その他
2024-02-22,Beep Japan,SLAVE ZERO X（英語版）,32,YES,SPT,Beep Japan,6820_0m_4923,1,野球,その他
2024-02-22,Skydance Interactive（英語版）,The Walking Dead: Saints & Sinners - Chapter 2: Retribution（英語版）,32,,SPT,Skydance Interactive（英語版）,6820_0m_4923,1,野球,その他
2024-02-29,日本一ソフトウェア,BAR ステラアビス,-,YES,ETC,日本一ソフトウェア,0,1,その他,その他
2024-02-29,バンダイナムコエンターテインメント,ドラゴンボール ファイターズ,36,,FTG,バンダイナムコエンターテインメント,1173_0m_958,1,ドラゴンボールファイティング,その他
2024-02-29,スクウェア・エニックス,ファイナルファンタジーVII リバース,38,YES,RPG,スクウェア・エニックス,6777_0m_4880,1,RPG,その他
2024-02-29,ビサイド,幻日のヨハネ -NUMAZU in the MIRAGE-,-,YES,ETC,ビサイド,0,1,その他,その他
2024-03-08,アトラス,ユニコーンオーバーロード,-,YES,ETC,アトラス,0,1,その他,その他
2024-03-14,PLAYISM,Ib,-,YES,ETC,PLAYISM,0,1,その他,その他
2024-03-14,ブシロード,マクロス -Shooting Insight-,-,YES,ETC,ブシロード,0,1,その他,その他
2024-03-15,THQ Nordic,Outcast 2 - A New Beginning（英語版）,32,,SPT,THQ Nordic,6820_0m_4923,1,野球,その他
2024-03-20,THQ Nordic,アローン・イン・ザ・ダーク,-,YES,ETC,THQ Nordic,0,1,その他,その他
2024-03-22,コーエーテクモゲームス,Rise of the Ronin,-,YES,ETC,コーエーテクモゲームス,0,1,その他,その他
2024-03-22,カプコン,ドラゴンズドグマ2,-,YES,ETC,カプコン,0,1,その他,その他
2024-03-28,コーエーテクモゲームス,ウイニングポスト10 2024,-,YES,ETC,コーエーテクモゲームス,0,1,その他,その他
2024-03-28,三月うさぎの森,ラジルギ2,-,,ETC,三月うさぎの森,0,1,その他,その他
2024-04-15,THQ Nordic,PERISH,-,,ETC,THQ Nordic,0,1,その他,その他
2024-04-17,Kepler Interactive,バイオニックベイ,-,,ETC,Kepler Interactive,0,1,その他,その他
2024-04-18,3goo,UFOロボ グレンダイザー：たとえ我が命つきるとも,-,YES,ETC,3goo,0,1,その他,その他
2024-04-19,Thirdverse,SOUL COVENANT,-,,ETC,Thirdverse,0,1,その他,その他
2024-04-23,505 Games,百英雄伝（英語版）,-,YES,ETC,505 Games,0,1,その他,その他
2024-04-25,バンダイナムコエンターテインメント,SAND LAND,-,YES,ETC,バンダイナムコエンターテインメント,0,1,その他,その他
2024-04-25,スクウェア・エニックス,サガ エメラルド ビヨンド,-,YES,ETC,スクウェア・エニックス,0,1,その他,その他
2024-04-26,ソニー・インタラクティブエンタテインメント,Stellar Blade,-,YES,ETC,ソニー・インタラクティブエンタテインメント,0,1,その他,その他
2024-05-09,Bigmode,ANIMAL WELL,-,YES,ETC,Bigmode,0,1,その他,その他
2024-05-09,ブシロード,Gift（英語版）,32,YES,SPT,ブシロード,6820_0m_4923,1,野球,その他
2024-05-09,ININ,レインボーコットン（英語版）,-,YES,ETC,ININ,0,1,その他,その他
2024-05-14,Thekla,"Braid, Anniversary Edition",-,,ETC,Thekla,0,1,その他,その他
2024-05-15,3goo,ガーデンライフ：夢の庭をつくろう,-,YES,ETC,3goo,0,1,その他,その他
2024-05-18,Maximum Entertainment,Morbid: The Lords of Ire,-,,ETC,Maximum Entertainment,0,1,その他,その他
2024-05-21,ユービーアイソフト,エックスディファイアント,-,YES,ETC,ユービーアイソフト,0,1,その他,その他
2024-05-23,Wild Kid Games,Evil Wizard,-,,ETC,Wild Kid Games,0,1,その他,その他
2024-05-23,日本ファルコム,イース・メモワール -フェルガナの誓い-,-,YES,ETC,日本ファルコム,0,1,その他,その他
2024-05-23,ディースリー・パブリッシャー,四角い地球に再びシカク現る!? デジボク地球防衛軍2 EARTH DEFENSE FORCE: WORLD BROTHERS,-,YES,ETC,ディースリー・パブリッシャー,0,1,その他,その他
2024-05-29,Daedalic Entertainment,Capes,-,,ETC,Daedalic Entertainment,0,1,その他,その他
2024-05-31,Maximum Entertainment,Morbid: The Lords of Ire,-,,ETC,Maximum Entertainment,0,1,その他,その他
2024-06-05,Good Shepherd Entertainment（英語版）,Killer Klowns from Outer Space: The Game,-,,ETC,Good Shepherd Entertainment（英語版）,0,1,その他,その他
2024-06-07,ユービーアイソフト,Rocksmith+,-,,ETC,ユービーアイソフト,0,1,その他,その他
2024-06-14,アトラス,真・女神転生V Vengeance,-,YES,ETC,アトラス,0,1,その他,その他
2024-06-27,バンダイナムコエンターテインメント,SPY×FAMILY OPERATION DIARY,-,YES,ETC,バンダイナムコエンターテインメント,0,1,その他,その他
2024-07-02,ネクソン,The First Descendant,-,YES,ETC,ネクソン,0,1,その他,その他
