発売日,メーカー,タイトル,⭐クロスレビュー(評価),パッケージ併売,ジャンル,開発元,未使用,販売本数,プラットフォーム
2021-09-15,"E-Home Entertianment Development Co., Ltd",Mr. Pumpkin 2: Kowloon walled city,2,,その他,"E-Home Entertianment Development Co., Ltd",0,1,Xbox Series X/S
2021-09-16,Curve Digital,I Am Fish,2,,その他,Curve Digital,0,1,Xbox Series X/S
2021-09-17,Lince Works,Aragami 2,2,,その他,Lince Works,0,1,Xbox Series X/S
2021-09-18,PQube Limited,Nexomon（ネクソモン）,2,,その他,PQube Limited,0,1,Xbox Series X/S
2021-09-21,7Levels,Golf Peaks,2,,その他,7Levels,0,1,Xbox Series X/S
2021-09-22,Ultimate Games,Rover Mechanic Simulator,2,,その他,Ultimate Games,0,1,Xbox Series X/S
2021-09-23,Raw Fury,Sable,2,,その他,Raw Fury,0,1,Xbox Series X/S
2021-09-24,SEGA,LOST JUDGMENT：裁かれざる記憶,2,,その他,SEGA,0,1,Xbox Series X/S
2021-09-27,Natsume Inc.,ConnecTank,2,,その他,Natsume Inc.,0,1,Xbox Series X/S
2021-09-28,NEOWIZ,Dandy Ace,2,,その他,NEOWIZ,0,1,Xbox Series X/S
2021-09-29,Milestone S.r.l.,HOT WHEELS UNLEASHED,2,,その他,Milestone S.r.l.,0,1,Xbox Series X/S
2021-09-30,コナミデジタルエンタテインメント,eFootball,2,,その他,コナミデジタルエンタテインメント,0,1,Xbox Series X/S
2021-10-01,ラタライカゲームス,タコリタ・ミーツ・ポテト,2,,その他,ラタライカゲームス,0,1,Xbox Series X/S
2021-10-05,Epic Games,Alan Wake Remastered,2,,その他,Epic Games,0,1,Xbox Series X/S
2021-10-06,N-Fusion Interactive,Ember: Console Edition,2,,その他,N-Fusion Interactive,0,1,Xbox Series X/S
2021-10-07,ユービーアイソフト,ファークライ6,2,,その他,ユービーアイソフト,0,1,Xbox Series X/S
2021-10-08,"E-Home Entertianment Development Co., Ltd",RainCity(レインシティ),2,,その他,"E-Home Entertianment Development Co., Ltd",0,1,Xbox Series X/S
2021-10-12,Warner Bros. Games,Back 4 Blood,2,,その他,Warner Bros. Games,0,1,Xbox Series X/S
2021-10-13,Sometimes You,Catty & Batty: The Spirit Guide,2,,その他,Sometimes You,0,1,Xbox Series X/S
2021-10-14,株式会社アニプレックス,鬼滅の刃 ヒノカミ血風譚,2,,その他,株式会社アニプレックス,0,1,Xbox Series X/S
2021-10-15,PLAYISM,The Good Life,2,,その他,PLAYISM,0,1,Xbox Series X/S
2021-10-19,"Top Hat Studios, Inc.",Sheepo（シーポ）,2,,その他,"Top Hat Studios, Inc.",0,1,Xbox Series X/S
2021-10-20,DANGEN Entertainment,Evertried（エバートライド）,2,,その他,DANGEN Entertainment,0,1,Xbox Series X/S
2021-10-21,Cococucumber,Echo Generation,2,,その他,Cococucumber,0,1,Xbox Series X/S
2021-10-22,バンダイナムコエンターテインメント,The Dark Pictures Anthology: House of Ashes(ハウス・オブ・アッシュ),2,,その他,バンダイナムコエンターテインメント,0,1,Xbox Series X/S
2021-10-25,Motorsport Games,NASCAR 21: Ignition,2,,その他,Motorsport Games,0,1,Xbox Series X/S
2021-10-26,Thomas K Young,Dadish,2,,その他,Thomas K Young,0,1,Xbox Series X/S
2021-10-26,日本マイクロソフト(Xbox Game Studios),Minecraft Dungeons Ultimate Edition,2,YES,その他,日本マイクロソフト(Xbox Game Studios),0,1,Xbox Series X/S
2021-10-27,マーベラス,牧場物語 再会のミネラルタウン,2,,その他,マーベラス,0,1,Xbox Series X/S
2021-10-28,コーエーテクモゲームス,零 ～濡鴉ノ巫女～,2,,その他,コーエーテクモゲームス,0,1,Xbox Series X/S
2021-10-29,Outright Games Ltd.,しゅつどう！パジャマスク: 夜のヒーロー,2,,その他,Outright Games Ltd.,0,1,Xbox Series X/S
2021-10-31,Riot Forge,ルインドキング：リーグ・オブ・レジェンド ストーリー,2,,その他,Riot Forge,0,1,Xbox Series X/S
2021-11-03,ユービーアイソフト,Just Dance 2022,2,,その他,ユービーアイソフト,0,1,Xbox Series X/S
2021-11-04,バンダイナムコエンターテインメント,ミスタードリラーアンコール,2,,その他,バンダイナムコエンターテインメント,0,1,Xbox Series X/S
2021-11-05,Assemble Entertainment,Encodya,2,,その他,Assemble Entertainment,0,1,Xbox Series X/S
2021-11-09,日本マイクロソフト(Xbox Game Studios),Forza Horizon 5,2,YES,その他,日本マイクロソフト(Xbox Game Studios),0,1,Xbox Series X/S
2021-11-09,Frontier Developments,ジュラシック・ワールド・エボリューション2,2,,その他,Frontier Developments,0,1,Xbox Series X/S
2021-11-10,アクティビジョン,*コール オブ デューティ ヴァンガード (外付けHDDからインストールする場合はOne版),2,,その他,アクティビジョン,0,1,Xbox Series X/S
2021-11-11,Humble Games,One Step From Eden,2,,その他,Humble Games,0,1,Xbox Series X/S
2021-11-12,Journey Bound Games,Path of Giants,2,,その他,Journey Bound Games,0,1,Xbox Series X/S
2021-11-16,Whippoorwill Limited,A Short Hike,2,,その他,Whippoorwill Limited,0,1,Xbox Series X/S
2021-11-17,Chameleon Games,Tamarin,2,,その他,Chameleon Games,0,1,Xbox Series X/S
2021-11-18,Art Games Studio S.A.,Chef's Tail,2,,その他,Art Games Studio S.A.,0,1,Xbox Series X/S
2021-11-19,エレクトロニック・アーツ,バトルフィールド2042,2,,その他,エレクトロニック・アーツ,0,1,Xbox Series X/S
2021-11-22,GIANTS Software/バンダイナムコエンターテインメント,Farming Simulator 22（ファーミングシミュレーター 22）,2,,その他,GIANTS Software/バンダイナムコエンターテインメント,0,1,Xbox Series X/S
2021-11-23,Ravenscourt,Let's Sing 2022,2,,その他,Ravenscourt,0,1,Xbox Series X/S
2021-11-24,PLAYISM,ごく普通の鹿のゲーム DEEEER Simulator,2,,その他,PLAYISM,0,1,Xbox Series X/S
2021-11-25,LEGO Games,LEGO Builder's Journey（レゴ ビルダーズ・ジャーニー）,2,,その他,LEGO Games,0,1,Xbox Series X/S
2021-11-26,Prison Games,Crazy Trucks,2,,その他,Prison Games,0,1,Xbox Series X/S
2021-11-30,"Oddworld Inhabitants, Inc.",Oddworld: Soulstorm Enhanced Edition,2,,その他,"Oddworld Inhabitants, Inc.",0,1,Xbox Series X/S
2021-12-01,Porcelain Fortress,リラックスしてらんない,2,,その他,Porcelain Fortress,0,1,Xbox Series X/S
2021-12-02,Flashbulb,Rubber Bandits,2,,その他,Flashbulb,0,1,Xbox Series X/S
