id,release_date,title,publisher,bit_memory,price
103,1990-01-26,ガイフレーム,メサイヤ, ,5800
104,1990-01-26,タイトーチェイスH.Q.,タイトー, ,6600
105,1990-01-26,逐電屋 藤兵衛,ナグザット, ,6700
106,1990-02-01,麻雀刺客列伝 麻雀ウォーズ,日本物産, ,5400
107,1990-02-07,スーパーバレーボール,ビデオシステム, ,5800
108,1990-02-23,虎への道,ビクター音楽産業, ,6700
109,1990-02-23,西村京太郎ミステリー北斗星の女,ナグザット, ,6300
110,1990-02-23,ニュージーランドストーリー,タイトー, ,6600
111,1990-02-23,飛装騎兵カイザード,メサイヤ, ,6200
112,1990-02-23,ブロディア,ハドソン, ,4500
113,1990-03-01,パラノイア,ナグザット, ,5800
114,1990-03-02,シティーハンター,サンソフト, ,6300
115,1990-03-02,スペースインベーダーズ 復活の日,タイトー, ,5900
116,1990-03-02,謎のマスカレード,メサイヤ, ,6000
117,1990-03-09,サイバーコア,IGS, ,6700
118,1990-03-10,ゴールデンアックス,日本テレネット, ,6780
119,1990-03-16,源平討魔伝,ナムコ, ,6800
120,1990-03-16,スーパーダライアス,NECアベニュー, ,6780
121,1990-03-16,倉庫番WORLD,メディアリング, ,5400
122,1990-03-23,アームドF,パック・イン・ビデオ, ,6700
123,1990-03-23,ファイナルゾーンII,日本テレネット, ,6780
124,1990-03-27,奇々怪界,タイトー, ,5500
125,1990-03-30,カルメン・サンディエゴを追え! 世界編,パック・イン・ビデオ, ,7200
126,1990-03-30,キング・オブ・カジノ,ビクター音楽産業, ,6200
127,1990-03-30,ドロップロック ほらホラ,データイースト, ,5900
128,1990-03-30,熱血高校ドッジボール部 PC番外編,ナグザット, ,5900
129,1990-03-30,ビーボール,ハドソン, ,5200
130,1990-04-03,スプラッターハウス,ナムコ, ,6800
131,1990-04-06,サイコチェイサー,ナグザット, ,5800
132,1990-04-06,魔動王グランゾート,ハドソン, ,6500
133,1990-04-13,上海II,ハドソン, ,5800
134,1990-04-13,パワードリフト,アスミック, ,6900
135,1990-04-20,ネクロスの要塞,アスク講談社, ,6800
136,1990-04-27,青いブリンク,ハドソン, ,6200
137,1990-04-27,スーパー大戦略,マイクロキャビン, ,6500
138,1990-04-27,デス・ブリンガー,日本テレネット, ,7200
139,1990-04-27,バルンバ,ナムコ, ,6800
140,1990-04-27,フォーメーションサッカー,ヒューマン, ,5500
141,1990-05-25,マニアックプロレス,ハドソン, ,6500
142,1990-05-31,ドンドコドン,タイトー, ,5800
143,1990-06-02,シンドバッド 地底の大魔宮,IGS, ,6700
144,1990-06-15,ヴェイグス,ビクター, ,6700
145,1990-06-22,ダウンロード,NECアベニュー, ,6800
146,1990-06-29,うる星やつら STAY WITH YOU,ハドソン, ,6500
147,1990-06-29,これがプロ野球'90,インテック, ,5800
148,1990-06-29,ゼビウス ファードラウト伝説,ナムコ, ,5800
149,1990-06-29,ソル・ビアンカ,メサイヤ, ,6200
150,1990-06-29,パズニック,タイトー, ,5900
151,1990-06-29,麻雀学園マイルド,フェイス, ,7980
152,1990-07-06,最後の忍道,アイレム, ,7000
153,1990-07-06,スーパースターソルジャー,ハドソン, ,6500
