発売日,メーカー,タイトル,⭐クロスレビュー(評価),パッケージ併売,ジャンル,開発元,ID,販売本数,ジャンル(詳細),プラットフォーム
2017-07-20,ワーナー ブラザース ジャパン,カーズ3 勝利への道,32,YES,RCG,ワーナー ブラザース ジャパン,805_0m_33,1,アクションレース,その他
2017-07-20,Bulbware,バルブ・ボーイ（英語版）,-,,ETC,Bulbware,0,1,その他,その他
2017-07-20,Collavier,密着対戦スピード,-,,ETC,Collavier,0,1,その他,その他
2017-07-21,任天堂,スプラトゥーン2,37,YES,ASHT,任天堂,782_0m_22,1,アクションシューティング,その他
2017-07-27,Vertex Pop,Graceful Explosion Machine,30,,SHT,Vertex Pop,0,1,全方位シューティング,その他
2017-07-28,バンダイナムコエンターテインメント,ナムコミュージアム,-,,ETC,バンダイナムコエンターテインメント,0,1,その他,その他
2017-07-28,バンダイナムコエンターテインメント,ナムコミュージアム（パックマンVS.持っている人と対戦版）,-,,ETC,バンダイナムコエンターテインメント,0,1,その他,その他
2017-07-28,SPRINGLOADED,ハイパーフェザーボール,-,,ETC,SPRINGLOADED,0,1,その他,その他
2017-08-03,ゼロディブ,GUNBARICH for Nintendo Switch,-,,ETC,ゼロディブ,0,1,その他,その他
2017-08-03,ゼロディブ,STRIKERS1945 for Nintendo Switch,-,,ETC,ゼロディブ,0,1,その他,その他
2017-08-03,インテンス,パズルアドベンチャー ブロッくる,-,,ETC,インテンス,0,1,その他,その他
2017-08-03,ケムコ[注 7],レイジングループ,-,,ETC,ケムコ[注 7],0,1,その他,その他
2017-08-10,Zen Studios（英語版）,Infinite Minigolf,-,,ETC,Zen Studios（英語版）,0,1,その他,その他
2017-08-10,フライハイワークス,クエストオブダンジョンズ,-,,ETC,フライハイワークス,0,1,その他,その他
2017-08-10,メビウス,刑事J.B.ハロルドの事件簿 マーダー・クラブ,-,,ETC,メビウス,0,1,その他,その他
2017-08-16,セガゲームス,ソニックマニア,32,,ACT,セガゲームス,0,1,2Dアクション,その他
2017-08-24,バンダイナムコエンターテインメント,ONE PIECE アンリミテッドワールド R デラックスエディション,-,YES,ETC,バンダイナムコエンターテインメント,0,1,その他,その他
2017-08-24,MUTAN,Sky Ride,-,,ETC,MUTAN,0,1,その他,その他
2017-08-24,レイニーフロッグ,ピクセル ライン DX,-,,ETC,レイニーフロッグ,0,1,その他,その他
2017-08-25,カプコン,モンスターハンターダブルクロス Nintendo Switch Ver.,-,YES,ETC,カプコン,838_0m_41,1,その他,その他
2017-08-31,GameTrust Games,Has-Been Heroes（英語版）,-,,ETC,GameTrust Games,0,1,その他,その他
2017-08-31,コーエーテクモゲームス,よるのないくに2 〜新月の花嫁〜,31,YES,RPG,コーエーテクモゲームス,840_0m_43n,1,美少女従魔RPG,その他
2017-08-31,レイニーフロッグ,リーグ オブ イーブル（英語版）,-,,ETC,レイニーフロッグ,0,1,その他,その他
2017-08-31,インティ・クリエイツ,蒼き雷霆ガンヴォルト ストライカーパック,-,YES,ETC,インティ・クリエイツ,864_0m_48n,1,その他,その他
2017-09-07,アークシステムワークス,ダブルドラゴンIV,-,,ETC,アークシステムワークス,0,1,その他,その他
2017-09-07,バンダイナムコエンターテインメント,ドラゴンボール ゼノバース2 for Nintendo Switch,-,YES,ETC,バンダイナムコエンターテインメント,912_0m_62,1,その他,その他
2017-09-07,Collavier,密着対戦2048,-,,ETC,Collavier,0,1,その他,その他
2017-09-07,シルバースタージャパン,翔べよ!!ドラゴン!,-,,ETC,シルバースタージャパン,0,1,その他,その他
2017-09-14,コーエーテクモゲームス,Champion Jockey Special,-,YES,ETC,コーエーテクモゲームス,0,1,その他,その他
2017-09-14,Shin'en Multimedia（英語版）,FAST RMX,-,,ETC,Shin'en Multimedia（英語版）,0,1,その他,その他
2017-09-14,Raw Fury,Kingdom: New Lands（英語版）,-,,ETC,Raw Fury,0,1,その他,その他
2017-09-14,フライハイワークス,PAN-PAN〜ちっちゃな大冒険〜,-,,ETC,フライハイワークス,0,1,その他,その他
2017-09-14,コーエーテクモゲームス,Winning Post 8 2017,-,YES,ETC,コーエーテクモゲームス,0,1,その他,その他
2017-09-15,テイクツー・インタラクティブ・ジャパン,NBA 2K18,33,YES,SPT,テイクツー・インタラクティブ・ジャパン,926_0m_70,1,バスケットボール,その他
2017-09-21,フライハイワークス,DEEMO,-,,ETC,フライハイワークス,0,1,その他,その他
2017-09-21,シティコネクション,ぺんぎんくんギラギラWARS,30,,SPT,シティコネクション,0,1,ボール投げバトルアクション,その他
2017-09-21,スクウェア・エニックス,ドラゴンクエストX オールインワンパッケージ,-,YES,ETC,スクウェア・エニックス,6948_0m_4919,1,その他,その他
2017-09-22,ポケモン,ポッ拳 POKKÉN TOURNAMENT DX,-,YES,ETC,ポケモン,890_0m_58,1,その他,その他
2017-09-28,レイニーフロッグ,forma.8,30,,ADV,レイニーフロッグ,0,1,探索アドベンチャー,その他
2017-09-28,Hypersect,INVERSUS Deluxe,-,,ETC,Hypersect,0,1,その他,その他
2017-09-28,ジュピター,ピクロスS,-,,ETC,ジュピター,0,1,その他,その他
2017-09-28,コーエーテクモゲームス,ファイアーエムブレム無双,36,YES,ACT,コーエーテクモゲームス,891_0m_59,1,タクティカルアクション,その他
2017-09-28,INSIDE SYSTEM,ブレイブダンジョン+魔神少女COMBAT,-,,ETC,INSIDE SYSTEM,0,1,その他,その他
2017-09-28,レイニーフロッグ,ロストスター,-,,ETC,レイニーフロッグ,0,1,その他,その他
2017-09-28,Collavier,密着対戦ピクプレ,-,,ETC,Collavier,0,1,その他,その他
2017-09-28,ポイソフト,王だぁランド!,-,,ETC,ポイソフト,0,1,その他,その他
2017-09-28,シルバースタージャパン,謎解きメール,-,,ETC,シルバースタージャパン,0,1,その他,その他
2017-09-29,エレクトロニック・アーツ,FIFA 18,37,YES,SPT,エレクトロニック・アーツ,892_0m_60n,1,サッカー,その他
2017-10-05,Thomas Happ Games,Axiom Verge（英語版）,-,,ETC,Thomas Happ Games,0,1,その他,その他
2017-10-05,Asteroid Base,LOVERS:みんなですすめ!宇宙の旅,33,,ASHT,Asteroid Base,0,1,アクションシューティング,その他
2017-10-05,フライハイワークス,鯉 (KOI),-,,ETC,フライハイワークス,0,1,その他,その他
2017-10-12,Rising Star Games,88 Heroes - 98 Heroes Edition,-,,ETC,Rising Star Games,0,1,その他,その他
2017-10-12,スクウェア・エニックス,LOST SPHEAR,32,YES,RPG,スクウェア・エニックス,947_0m_79,1,ネオ・トラディショナルRPG,その他
2017-10-12,Team17（英語版）,Overcooked - オーバークック スペシャルエディション,-,,ETC,Team17（英語版）,0,1,その他,その他
2017-10-12,Headup Games（英語版）,Slime-san: Superslime Edition,30,,ACT,Headup Games（英語版）,0,1,アクション,その他
2017-10-19,Headup Games,Earth Atlantis（英語版）,-,,ETC,Headup Games,0,1,その他,その他
2017-10-19,Panic Button（英語版）,アストロデュエルデラックス（英語版）,-,,ETC,Panic Button（英語版）,0,1,その他,その他
2017-10-19,PlayEveryWare,エリエット・クエスト（英語版）,-,,ETC,PlayEveryWare,0,1,その他,その他
2017-10-19,ワーナー ブラザース ジャパン,レゴ ニンジャゴー ムービー ザ・ゲーム,33,YES,AADV,ワーナー ブラザース ジャパン,948_0m_80,1,アクションアドベンチャー,その他
2017-10-19,ケムコ,レヴナントサーガ,-,,ETC,ケムコ,0,1,その他,その他
2017-10-26,Kitfox Games,Moon Hunters（英語版）,-,,ETC,Kitfox Games,0,1,その他,その他
2017-10-26,アメージング,ZOMBIE GOLD RUSH,-,,ETC,アメージング,0,1,その他,その他
2017-10-26,メビウス,刑事J.B.ハロルドの事件簿 マンハッタン・レクイエム,-,,ETC,メビウス,0,1,その他,その他
2017-10-27,任天堂,スーパーマリオ オデッセイ,39,YES,ACT,任天堂,949_0m_81n,1,3Dアクション,その他
2017-11-02,Harmonix（英語版）,Super Beat Sports,-,,ETC,Harmonix（英語版）,0,1,その他,その他
2017-11-02,CIRCLE Ent.,ロロロロ,-,,ETC,CIRCLE Ent.,0,1,その他,その他
2017-11-02,メディアスケープ,東方Project『東方紅舞闘V』,-,,ETC,メディアスケープ,0,1,その他,その他
2017-11-07,ユービーアイソフト,UNO,-,,ETC,ユービーアイソフト,0,1,その他,その他
2017-11-09,Rising Star Games,Ninja Shodown,-,,ETC,Rising Star Games,0,1,その他,その他
