発売日,メーカー,タイトル,⭐クロスレビュー(評価),価格帯,ジャンル,シリーズ,ID,売り上げ本数(万本),ジャンル(詳細),👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー
2012-03-22,カプコン,デビルメイクライ HDコレクション,-,-,-,-,act/87,0,-,,,,,,,
2012-03-22,コンパイルハート,圧倒的遊戯 ムゲンソウルズ,31,-,RPG,-,0,0,RPG,,,,,,,
2012-03-22,みなとすてーしょん,真剣で私に恋しなさい! R,-,-,-,-,0,0,-,,,,,,,
2012-03-29,テイクツー・インタラクティブ・ジャパン,Duke Nukem Forever,-,-,-,-,0,0,-,,,,,,,
2012-03-29,バンダイナムコゲームス,アイドルマスター アニメ＆G4U!パック VOL.6,-,-,-,アイドルマスター アニメ＆G,0,0,-,,,,,,,
2012-03-29,コナミデジタルエンタテインメント,サイレントヒルHDエディション,-,-,-,-,0,0,-,,,,,,,
2012-03-29,コナミデジタルエンタテインメント,プロ野球スピリッツ2012,35,-,SPT,プロ野球スピリッツ,0,0,野球,,,,,,,
2012-04-05,ディースリー・パブリッシャー,マージャン★ドリームクラブ,-,-,-,-,0,0,-,,,,,,,
2012-04-12,コードマスターズ,DiRT 3 コンプリートエディション,-,-,-,DiRT,0,0,-,,,,,,,
2012-04-12,エレクトロニック・アーツ,EA SPORTS グランドスラムテニス2,-,-,-,EA SPORTS グランドスラムテニス,0,0,-,,,,,,,
2012-04-12,ユービーアイソフト,レイマン オリジン,34,-,ACT,-,0,0,アクション,,,,,,,
2012-04-19,ワーナー エンターテイメント ジャパン,ウォー・イン・ザ・ノース：ロード・オブ・ザ・リング,-,-,-,-,0,0,-,,,,,,,
2012-04-26,テイクツー・インタラクティブ・ジャパン,Major League Baseball 2K12,-,-,-,Major League Baseball,0,0,-,,,,,,,
2012-04-26,バンダイナムコゲームス,アイドルマスター アニメ＆G4U!パック VOL.7,-,-,-,アイドルマスター アニメ＆G,0,0,-,,,,,,,
2012-04-26,カプコン,バイオハザード オペレーション・ラクーンシティ,-,-,-,-,14938_s,34,-,,,,,,,
2012-05-10,ソニー・コンピュータエンタテインメント,STARHAWK,-,-,-,-,0,0,-,,,,,,,
2012-05-24,5pb.,STEINS;GATE,-,-,-,-,0,0,-,,,,,,,
2012-05-24,5pb.,STEINS;GATE 比翼恋理のだーりん,-,-,-,-,0,0,-,,,,,,,
2012-05-24,バンダイナムコゲームス,アイドルマスター アニメ＆G4U!パック VOL.8,-,-,-,アイドルマスター アニメ＆G,0,0,-,,,,,,,
2012-05-24,カプコン,ドラゴンズドグマ,34,-,ACT,-,14949_s,47,オープンワールドアクション,,,,,,,
2012-05-31,セガ,実戦パチスロ必勝法! 北斗の拳F 世紀末救世主伝説,-,-,-,-,0,0,-,,,,,,,
2012-06-07,ソニー・コンピュータエンタテインメント,TOKYO JUNGLE,32,-,ACT,-,act/89,0,サバイバルアクション,,,,,,,
2012-06-14,ソニー・コンピュータエンタテインメント,LORD OF SORCERY,-,-,-,-,0,0,-,,,,,,,
2012-06-14,角川ゲームス,ロリポップチェーンソー,36,-,ACT,-,act/90,0,アクション,,,,,,,
2012-06-21,セガ,けいおん！ 放課後ライブ！！ HD Ver.,-,-,-,けいおん！ 放課後ライブ！！ HD,0,0,-,,,,,,,
2012-06-21,サイバーフロント,テストドライブ アンリミテッド 2 Plus カジノオンライン,-,-,-,テストドライブ アンリミテッド,0,0,-,,,,,,,
2012-06-21,システムソフト・アルファー,出撃!! 乙女たちの戦場2〜憂国を翔ける皇女のツバサ〜,-,-,-,出撃!! 乙女たちの戦場,0,0,-,,,,,,,
2012-06-28,5pb.,ROBOTICS;NOTES,-,-,-,-,0,0,-,,,,,,,
2012-06-28,バンダイナムコゲームス,アイドルマスター アニメ＆G4U!パック VOL.9,-,-,-,アイドルマスター アニメ＆G,0,0,-,,,,,,,
2012-06-28,ガスト,アーシャのアトリエ 〜黄昏の大地の錬金術士〜,34,-,RPG,-,rpg/66,0,旧約錬金術RPG,,,,,,,
2012-06-28,バンダイナムコゲームス,ドットハック セカイの向こうに＋Versus Hybrid Pack,31,-,FTG,-,0,0,対戦格闘,,,,,,,
2012-06-28,カプコン,バイオハザードクロニクルズ HDセレクション,-,-,-,-,sho/99,0,-,,,,,,,
2012-06-28,アイディアファクトリー,薄桜鬼 黎明録 名残り草,-,-,-,-,0,0,-,,,,,,,
2012-07-05,ユービーアイソフト,ゴーストリコン フューチャーソルジャー,34,-,ASHT,-,sho/100,0,アクションシューター,,,,,,,
2012-07-05,セガ,マックスアナーキー,36,-,FTG,-,act/91,0,乱戦格闘アクション,,,,,,,
2012-07-19,システムソフト・アルファー,三極姫 〜戦煌の大火・暁の覇龍〜,-,-,-,-,0,0,-,,,,,,,
2012-07-19,レベルファイブ,二ノ国 白き聖灰の女王 オールインワン・エディション,-,-,-,-,0,0,-,,,,,,,
2012-07-19,コナミデジタルエンタテインメント,実況パワフルプロ野球2012,35,-,SPT,実況パワフルプロ野球,spo/84,0,野球・育成,,,,,,,
2012-07-26,アトラス,ペルソナ4 ジ・アルティメット イン マヨナカアリーナ,36,-,FTG,ペルソナ,cbt/32,0,2D対戦格闘,,,,,,,
2012-07-26,コーエーテクモゲームス,真・三國無双 MULTI RAID 2 HD Version,-,-,-,真・三國無双 MULTI RAID,0,0,-,,,,,,,
2012-07-26,バンダイナムコゲームス,超時空要塞マクロス〜愛・おぼえていますか〜 Hybrid Pack,-,-,-,-,sho/101,0,-,,,,,,,
2012-08-09,ユービーアイソフト,スナイパーエリートV2,32,-,SHT,スナイパーエリートV,0,0,タクティカルシューター,,,,,,,
2012-08-16,ハムスター,ヘビーファイア アフガニスタン,-,-,-,-,0,0,-,,,,,,,
2012-08-23,バンダイナムコゲームス,輪廻のラグランジェ -鴨川デイズ- OVA＆GAME HYBRID,-,-,-,-,0,0,-,,,,,,,
2012-08-30,アクアプラス,AQUAPAZZA,-,-,-,-,0,0,-,,,,,,,
2012-08-30,コードマスターズ,DiRT SHOWDOWN,31,-,RCG,-,0,0,アクションレース,,,,,,,
2012-08-30,テイクツー・インタラクティブ・ジャパン,スペックオプス ザ・ライン,31,-,SHT,-,0,0,ミリタリーシューター,,,,,,,
2012-08-30,カプコン,戦国BASARA HD Collection,-,-,-,-,0,0,-,,,,,,,
2012-08-30,コンパイルハート,神次元ゲイム ネプテューヌV,30,-,RPG,-,rpg/67,0,RPG,,,,,,,
2012-09-06,テイクツー・インタラクティブ・ジャパン,MAX PAYNE 3,-,-,-,MAX PAYNE,0,0,-,,,,,,,
2012-09-06,ソニー・コンピュータエンタテインメント,ラチェット＆クランク 1+2+3 銀河★最強ゴージャスパック,-,-,-,ラチェット＆クランク,act/94,0,-,,,,,,,
2012-09-06,フィールズ,激アツ!!パチゲー魂MAX ヱヴァンゲリヲン7 X 生命の鼓動,-,-,-,激アツ!!パチゲー魂MAX ヱヴァンゲリヲン,otr/32,0,-,,,,,,,
2012-09-13,バンダイナムコゲームス,アクセル・ワールド -銀翼の覚醒-,-,-,-,-,0,0,-,,,,,,,
2012-09-13,バンダイナムコゲームス,鉄拳タッグトーナメント2,39,-,FTG,鉄拳タッグトーナメント,cbt/33,0,3D対戦格闘,,,,,,,
2012-09-20,バンダイナムコゲームス,エウレカセブンAO ユングフラウの花々たち GAME＆OVA Hybrid Disc,-,-,-,-,0,0,-,,,,,,,
2012-09-20,スパイク・チュンソフト,キングダムズ オブ アマラー：レコニング,34,-,RPG,-,rpg/69,0,オープンワールドRPG,,,,,,,
2012-09-20,コーエーテクモゲームス,大航海時代 Online 2nd Age,-,-,-,大航海時代 Online,0,0,-,,,,,,,
2012-09-20,5pb.,暁の護衛 トリニティ,-,-,-,-,0,0,-,,,,,,,
2012-09-27,スクウェア・エニックス,スリーピングドッグス 香港秘密警察,36,-,ACT,-,act/97,0,オープンワールドアクション,,,,,,,
2012-09-27,コーエーテクモゲームス,デッド オア アライブ5,36,-,FTG,デッド オア アライブ,0,0,3D対戦格闘,,,,,,,
2012-10-04,コードマスターズ,F1 2012,34,-,RCG,-,0,0,レース,,,,,,,
2012-10-04,カプコン,バイオハザード6,39,-,ETC,バイオハザード,14926_s,84,サバイバルホラー,,,,,,,
2012-10-04,コナミデジタルエンタテインメント,ワールドサッカー ウイニングイレブン 2013,35,-,SPT,ワールドサッカー ウイニングイレブン,14971_s,45,サッカー,,,,,,,
2012-10-11,ベセスダ・ソフトワークス,Dishonored,35,-,ACT,-,0,0,アクション,,,,,,,
2012-10-11,ユービーアイソフト,Rocksmith,-,-,-,-,0,0,-,,,,,,,
2012-10-11,バンダイナムコゲームス,時と永遠 〜トキトワ〜,-,-,-,-,0,0,-,,,,,,,
2012-10-18,エレクトロニック・アーツ,FIFA 13 ワールドクラス サッカー,37,-,SPT,FIFA,spo/86,0,サッカー,,,,,,,
2012-10-25,テイクツー・インタラクティブ・ジャパン,Borderlands 2,-,-,-,Borderlands,0,0,-,,,,,,,
2012-10-25,フロム・ソフトウェア,DARK SOULS with ARTORIAS OF THE ABYSS EDITION,-,-,-,-,0,0,-,,,,,,,
2012-10-25,コナミデジタルエンタテインメント,ZONE OF THE ENDERS HD EDITION,-,-,-,-,0,0,-,,,,,,,
2012-10-25,アクアプラス,ハートフルシミュレーターPACHISLOT ToHeart2,-,-,-,ハートフルシミュレーターPACHISLOT ToHeart,0,0,-,,,,,,,
2012-10-25,5pb.,マブラヴ,-,-,-,-,0,0,-,,,,,,,
2012-10-25,5pb.,マブラヴオルタネイティヴ,-,-,-,-,0,0,-,,,,,,,
2012-11-01,スパイク・チュンソフト,Dead Island：Zombie of the Year Edition,34,-,ARPG,Dead,0,0,アクションRPG,,,,,,,
2012-11-01,テイクツー・インタラクティブ・ジャパン,NBA 2K13,34,-,SPT,NBA,0,0,バスケットボール,,,,,,,
2012-11-01,バンダイナムコゲームス,テイルズ オブ エクシリア2,35,-,RPG,テイルズ オブ エクシリア,14940_s,46,選択が未来を紡ぐRPG,,,,,,,
2012-11-01,カプコン,大神 絶景版,-,-,-,-,aad/55,0,-,,,,,,,
2012-11-01,セガ,龍が如く1&2 HD EDITION,-,-,-,龍が如く,aad/56,0,-,,,,,,,
2012-11-08,コナミデジタルエンタテインメント,サイレントヒル ダウンプア,31,-,ADV,-,0,0,ホラーアドベンチャー,,,,,,,
2012-11-08,コーエーテクモゲームス,真・三國無双6 Empires,35,-,ACT,真・三國無双,0,0,タクティカルアクション＋SLG,,,,,,,
2012-11-15,京楽産業ホールディングス,ぱちんこ 必殺仕事人IV KYORAKUコレクション Vol.2,-,-,-,ぱちんこ 必殺仕事人IV KYORAKUコレクション Vol.,0,0,-,,,,,,,
2012-11-15,ユービーアイソフト,アサシン クリード III,38,-,ACT,アサシン クリード,act/100,0,アクション,,,,,,,
2012-11-15,ディースリー・パブリッシャー,ドリームクラブ コンプリートエディぴょん！,-,-,-,-,0,0,-,,,,,,,
2012-11-15,エレクトロニック・アーツ,ニード・フォー・スピード モスト・ウォンテッド,36,-,RCG,-,rac/40,0,レース,,,,,,,
2012-11-15,エレクトロニック・アーツ,メダル オブ オナー ウォーファイター,33,-,FPS,-,sho/108,0,ミリタリーFPS,,,,,,,
2012-11-22,ベセスダ・ソフトワークス,DOOM3 BFG EDITION,-,-,-,DOOM,0,0,-,,,,,,,
2012-11-22,ソニー・コンピュータエンタテインメント,みんなのGOLF6,35,-,SPT,みんなのGOLF,spo/88,0,ゴルフ,,,,,,,
2012-11-22,カプコン,エクストルーパーズ,32,-,ACT,-,act/101,0,マンガチック爽快アクション,,,,,,,
2012-11-22,5pb.,カオスヘッド らぶChu☆Chu,-,-,-,-,0,0,-,,,,,,,
2012-11-22,5pb.,カオスヘッド ノア,-,-,-,-,0,0,-,,,,,,,
2012-11-22,スクウェア・エニックス,コール オブ デューティ ブラックオプス2字幕版,37,-,FPS,コール オブ デューティ ブラックオプス,14973_s,34,FPS,,,,,,,
2012-11-22,システムソフト・アルファー,太平洋の嵐〜戦艦大和、暁に出撃す！〜,-,-,-,-,0,0,-,,,,,,,
2012-11-29,ソニー・コンピュータエンタテインメント,スポーツチャンピオン2,-,-,-,スポーツチャンピオン,spo/89,0,-,,,,,,,
2012-11-29,スパイク・チュンソフト,ダークサイダーズ2,35,-,AADV,ダークサイダーズ,0,0,アクションアドベンチャー,,,,,,,
2012-11-29,バンダイナムコゲームス,第2次スーパーロボット大戦OG,35,-,SRPG,-,rpg/74,0,シミュレーションRPG,,,,,,,
2012-12-06,スパイク・チュンソフト,Saints Row: The Third：フルパッケージ,-,-,-,-,0,0,-,,,,,,,
2012-12-06,セガ,龍が如く5 夢、叶えし者,40,-,AADV,龍が如く,14932_s,58,アクションアドベンチャー,,,,,,,
2012-12-13,エレクトロニック・アーツ,バトルフィールド 3 プレミアム・エディション,-,-,-,バトルフィールド,0,0,-,,,,,,,
2012-12-13,ラッセル,ポートロイヤル3,-,-,-,ポートロイヤル,0,0,-,,,,,,,
2012-12-13,コーエーテクモゲームス,三國志12,30,-,SLG,三國志,0,0,歴史シミュレーション,,,,,,,
2012-12-13,コナミデジタルエンタテインメント,実況パワフルプロ野球2012決定版,34,-,SPT,実況パワフルプロ野球,spo/90,0,野球・育成,,,,,,,
2012-12-13,ファルコム,英雄伝説 空の軌跡FC：改 HD EDITION,-,-,-,-,rpg/75,0,-,,,,,,,
2012-12-20,アクアプラス,WHITE ALBUM 2 幸せの向こう側,-,-,-,WHITE ALBUM,0,0,-,,,,,,,
2012-12-20,スクウェア・エニックス,コール オブ デューティ ブラックオプス2吹替版,-,-,-,コール オブ デューティ ブラックオプス,sho/109,0,-,,,,,,,
2012-12-20,システムソフト・アルファー,戦極姫3 〜天下を切り裂く光と影〜,-,-,-,戦極姫,slg/35,0,-,,,,,,,
2012-12-20,コーエーテクモゲームス,真・北斗無双,37,-,ACT,-,act/102,0,アクション,,,,,,,
2013-01-17,カプコン,ディーエムシー デビルメイクライ,34,-,ACT,-,act/103,0,スタイリッシュアクション,,,,,,,
2013-01-17,ディースリー・パブリッシャー,ドリームクラブZERO Special Edipyon！,-,-,-,-,0,0,-,,,,,,,
2013-01-17,ソニー・コンピュータエンタテインメント,リトルビッグプラネット カーティング,34,-,RCG,-,act/20,0,アクションレース,,,,,,,
2013-01-24,スクウェア・エニックス,ヒットマン アブソリューション,36,-,ACT,-,act/104,0,ステルスアクション,,,,,,,
2013-01-24,コーエーテクモゲームス,信長の野望Online 10周年記念BOX,-,-,-,信長の野望Online,0,0,-,,,,,,,
2013-01-24,日本一ソフトウェア,神様と運命革命のパラドクス,33,-,RPG,-,0,0,運命革命RPG,,,,,,,
2013-01-31,サイバーフロント,WRC3 FIA ワールドラリーチャンピオンシップ,-,-,-,WRC,0,0,-,,,,,,,
2013-01-31,バンダイナムコゲームス,アクセル・ワールド －加速の頂点－,-,-,-,-,0,0,-,,,,,,,
2013-01-31,ソニー・コンピュータエンタテインメント,プレイステーション オールスター・バトルロイヤル,31,-,ACT,-,act/105,0,アクション,,,,,,,
2013-02-07,ハムスター,ヘビーファイア シャッタードスピア,-,-,-,-,0,0,-,,,,,,,
2013-02-14,サイバーフロント,コンバットウイングス： The Great Battles of World War II,-,-,-,コンバットウイングス： The Great Battles of World War,0,0,-,,,,,,,
2013-02-21,コナミデジタルエンタテインメント,メタルギア ライジング リベンジェンス,39,-,ACT,-,14939_s,48,ライトニングボルトアクション,,,,,,,
2013-02-28,バンダイナムコゲームス,マクロス30 銀河を繋ぐ歌声,32,-,ARPG,マクロス,rpg/78,0,フライトアクションRPG,,,,,,,
2013-02-28,ユービーアイソフト,リズン2 ダークウォーター,-,-,-,リズン,0,0,-,,,,,,,
2013-02-28,コーエーテクモゲームス,真・三國無双7,36,-,ACT,真・三國無双,14955_s,36,タクティカルアクション,,,,,,,
2013-02-28,5pb.,車輪の国、向日葵の少女,32,-,ADV,-,0,0,ヒューマンドラマADV,,,,,,,
2013-03-07,コードマスターズ,F1 RACE STARS,-,-,-,-,0,0,-,,,,,,,
2013-03-07,ユービーアイソフト,Far Cry 3,-,-,-,Far Cry,0,0,-,,,,,,,
2013-03-07,エレクトロニック・アーツ,クライシス3,35,-,FPS,クライシス,0,0,FPS,,,,,,,
2013-03-07,セガ,初音ミク Project DIVA F,-,-,-,-,0,0,-,,,,,,,
2013-03-14,コーエーテクモゲームス,ウイニングポスト7 2013,30,-,SLG,ウイニングポスト,slg/38,0,競馬シミュレーション,,,,,,,
2013-03-14,スクウェア・エニックス,キングダム ハーツ HD 1.5 リミックス,-,-,-,キングダム ハーツ HD,0,0,-,,,,,,,
2013-03-14,ソニー・コンピュータエンタテインメント,ゴッド・オブ・ウォー：アセンション,36,-,ACT,-,0,0,アクション,,,,,,,
2013-03-14,カプコン,ヴァンパイア リザレクション,-,-,FTG,-,0,0,FTG,,,,,,,
2013-03-20,日本一ソフトウェア,ディスガイア D2,33,-,SRPG,ディスガイア D,rpg/80,0,史上最凶のシミュレーションRPG,,,,,,,
2013-03-20,コナミデジタルエンタテインメント,プロ野球スピリッツ2013,36,-,SPT,プロ野球スピリッツ,spo/91,0,プロ野球,,,,,,,
2013-03-20,プロトタイプ,リトルバスターズ ConvertedEdition,31,-,ADV,-,adv/37,0,恋愛アドベンチャー,,,,,,,
2013-03-20,バンダイナムコゲームス,ワンピース 海賊無双2,37,-,ACT,ワンピース 海賊無双,14959_s,41,無双アクション,,,,,,,
2013-03-28,エレクトロニック・アーツ,アーミーオブツー ザ・デビルズカーテル,-,-,-,-,0,0,-,,,,,,,
2013-04-04,コーエーテクモゲームス,NINJA GAIDEN 3: Razor's Edge,33,-,ACT,NINJA GAIDEN,0,0,アクション,,,,,,,
2013-04-18,バンダイナムコゲームス,NARUTO -ナルト- 疾風伝 ナルティメットストーム3,39,-,ACT,NARUTO -ナルト- 疾風伝 ナルティメットストーム,0,0,忍道対戦アクション,,,,,,,
2013-04-25,5pb.,STEINS;GATE 線形拘束のフェノグラム,-,-,-,-,0,0,-,,,,,,,
2013-04-25,スクウェア・エニックス,トゥームレイダー,38,-,ACT,-,aad/59,0,サバイバルアクション,,,,,,,
2013-04-25,カプコン,ドラゴンズドグマ: ダークアリズン,34,-,ACT,-,rpg/83,0,オープンワールドアクション,,,,,,,
2013-04-25,テイクツー・インタラクティブ・ジャパン,バイオショック インフィニット,37,-,FPS,-,0,0,FPS,,,,,,,
2013-04-25,コンパイルハート,圧倒的遊戯 ムゲンソウルズZ,31,-,RPG,-,0,0,圧倒的RPG,,,,,,,
2013-04-25,パオン,大都技研公式パチスロシミュレーター秘宝伝 〜太陽を求める者達〜,-,-,-,-,0,0,-,,,,,,,
2013-04-25,日本ファルコム,英雄伝説 空の軌跡SC：改 HD EDITION,-,-,-,-,rpg/81,0,-,,,,,,,
2013-05-16,5pb.,マブラヴ オルタネイティヴ トータル・イクリプス,30,-,ADV,-,0,0,アドベンチャー,,,,,,,
2013-05-23,日本一ソフトウェア,ZX 絶界の聖戦,31,-,TBL,-,0,0,カードバトルRPG,,,,,,,
2013-05-23,スパイク・チュンソフト,テラリア,-,-,-,-,0,0,-,,,,,,,
2013-05-23,カプコン,バイオハザード リベレーションズ アンベールド エディション,36,-,ETC,-,aad/61,0,サバイバルホラー,,,,,,,
2013-05-23,バンダイナムコゲームス,仮面ライダー バトライド・ウォー,33,-,ACT,-,act/111,0,バイク＆ヒーローアクション,,,,,,,
2013-06-20,ソニー・コンピュータエンタテインメント,The Last of Us,38,-,ACT,-,aad/62,0,サバイバルアクション,,,,,,,
2013-06-20,システムソフト・アルファー,大戦略 大東亜興亡史〜トラ・トラ・トラ ワレ奇襲二成功セリ〜,-,-,-,-,0,0,-,,,,,,,
2013-06-27,ベセスダ・ソフトワークス,The Elder Scrolls V: Skyrim LEGENDARY EDITION,40,-,ARPG,The Elder Scrolls,0,0,アクションRPG,,,,,,,
2013-06-27,ワーナー エンターテイメント ジャパン,インジャスティス 神々の激突,31,-,FTG,-,0,0,3D対戦格闘,,,,,,,
2013-06-27,ガスト,エスカ&ロジーのアトリエ 〜黄昏の空の錬金術士〜,36,-,RPG,-,rpg/86,0,旧約錬金術RPG,,,,,,,
2013-06-27,バンダイナムコゲームス,ガンダムブレイカー,35,-,ACT,-,act/112,0,創壊共闘アクション,,,,,,,
2013-06-27,サイバーフロント,スナイパー ゴーストウォリアー2,-,-,-,スナイパー ゴーストウォリアー,0,0,-,,,,,,,
2013-06-27,コンパイルハート,デート・ア・ライブ 凜祢ユートピア,-,-,-,-,0,0,-,,,,,,,
2013-06-27,5pb.,メモリーズオフ ゆびきりの記憶,-,-,-,-,0,0,-,,,,,,,
2013-06-27,5pb.,メモリーズオフ6 complete,-,-,-,メモリーズオフ,0,0,-,,,,,,,
2013-06-27,日本ファルコム,英雄伝説 空の軌跡 the 3rd：改 HD EDITION,-,-,-,英雄伝説 空の軌跡 the,0,0,-,,,,,,,
2013-07-04,ディースリー・パブリッシャー,地球防衛軍4,34,-,ASHT,地球防衛軍,sho/118,0,アクションシューティング,,,,,,,
2013-07-10,コーエーテクモゲームス,信長の野望 Online 天下夢幻の章,-,-,-,-,0,0,-,,,,,,,
2013-07-11,スパイク・チュンソフト,デッドアイランド：リップタイド,33,-,ARPG,-,0,0,アクションRPG,,,,,,,
2013-07-12,スクウェア・エニックス,スカイランダーズ スパイロの大冒険,-,-,-,-,0,0,-,,,,,,,
2013-07-18,スクウェア・エニックス,ファイナルファンタジーXIII-2 デジタルコンテンツセレクション,40,-,RPG,ファイナルファンタジーXIII-,rpg/59,0,RPG,,,,,,,
2013-07-18,コーエーテクモゲームス,真・三國無双Online Z,-,-,-,-,0,0,-,,,,,,,
2013-07-25,コードマスターズ,RACE DRIVER GRID 2,-,-,-,RACE DRIVER GRID,0,0,-,,,,,,,
2013-07-25,アークシステムワークス,XBLAZE CODE:EMBRYO,-,-,FTG,-,0,0,FTG,,,,,,,
2013-07-25,5pb.,ケツイ〜絆地獄たち〜,-,-,-,-,0,0,-,,,,,,,
2013-07-25,アトラス,ドラゴンズクラウン,35,-,ARPG,-,rpg/90,0,2DアクションRPG,,,,,,,
2013-07-25,日本一ソフトウェア,魔女と百騎兵,31,-,ARPG,-,0,0,ダークファンタジー・アクションRPG,,,,,,,
2013-08-01,角川ゲームス,KILLER IS DEAD,35,-,ACT,KILLER,act/114,0,ファンタジー・アクション,,,,,,,
2013-08-01,スパイク・チュンソフト,メトロ ラストライト,35,-,ASHT,-,0,0,サバイバルアクションシューター,,,,,,,
2013-08-01,システムソフト・アルファー,三極姫2〜皇旗咆哮・覚醒めし大牙〜,-,-,-,三極姫,0,0,-,,,,,,,
2013-08-08,カプコン,バイオハザード6 スペシャルパッケージ,39,-,ETC,バイオハザード,aad/53,0,サバイバルホラー,,,,,,,
2013-08-22,バンダイナムコゲームス,スーパーロボット大戦OGサーガ 魔装機神III PRIDE OF JUSTICE,32,-,SRPG,-,rpg/92,0,シミュレーションRPG,,,,,,,
2013-08-22,カプコン,ダンジョンズ＆ドラゴンズ －ミスタラ英雄戦記－,-,-,-,-,rpg/91,0,-,,,,,,,
2013-08-22,5pb.,ディスオーダー6,-,-,-,ディスオーダー,0,0,-,,,,,,,
2013-08-27,スクウェア・エニックス,ファイナルファンタジーXIV: 新生エオルゼア,39,-,MMO,-,0,0,オンラインRPG,,,,,,,
2013-08-29,バンダイナムコゲームス,ジョジョの奇妙な冒険 オールスターバトル,40,-,FTG,-,14965_s,50,スタイリッシュ対戦格闘,,,,,,,
2013-08-29,カプコン,ロスト プラネット 3,33,-,SHT,ロスト プラネット,0,0,シネマティックシューティング,,,,,,,
2013-09-05,ユービーアイソフト,スプリンターセル ブラックリスト,36,-,ACT,-,aad/64,0,ステルスアクション,,,,,,,
2013-09-05,コーエーテクモゲームス,デッド オア アライブ5 アルティメット,34,-,FTG,デッド オア アライブ,0,0,3D対戦格闘,,,,,,,
2013-09-05,ソニー・コンピュータエンタテインメント,パペッティア,36,-,ACT,-,act/116,0,アクション,,,,,,,
2013-09-05,ラッセル,ファーミングシミュレーター,32,-,SLG,-,0,0,農業マネージメントSLG,,,,,,,
2013-09-12,バンダイナムコゲームス,AKB1/149 恋愛総選挙,-,-,-,AKB,0,0,-,,,,,,,
2013-09-12,ユービーアイソフト,エア コンフリクト ベトナム,-,-,-,-,sho/122,0,-,,,,,,,
2013-09-19,5pb.,ファントムブレイカー：エクストラ,-,-,-,-,cbt/40,0,-,,,,,,,
2013-09-26,フロム・ソフトウェア,ARMORED CORE VERDICT DAY,-,-,-,ARMORED CORE,0,0,-,,,,,,,
2013-09-26,5pb.,るいは智を呼ぶ,-,-,-,-,0,0,-,,,,,,,
2013-09-26,日本一ソフトウェア,アルカディアスの戦姫,-,-,-,-,0,0,-,,,,,,,
2013-09-26,インターグロー,ペインキラーヘル・アンド・ダムネイション,-,-,-,-,0,0,-,,,,,,,
2013-09-26,コーエーテクモゲームス,三國志12 with パワーアップキット,30,-,SLG,三國志,0,0,歴史シミュレーション,,,,,,,
2013-09-26,バンダイナムコゲームス,俺の妹がこんなに可愛いわけがない。 ハッピーエンド,-,-,-,-,0,0,-,,,,,,,
2013-09-26,コーエーテクモゲームス,無双OROCHI2 Ultimate,35,-,ACT,無双OROCHI,act/117,0,タクティカルアクション,,,,,,,
2013-09-26,5pb.,英雄*戦姫,-,-,-,-,0,0,-,,,,,,,
2013-09-26,日本ファルコム,英雄伝説 閃の軌跡,34,-,RPG,-,rpg/96,0,ストーリーRPG,,,,,,,
2013-10-10,コードマスターズ,F1 2013,34,-,RCG,-,0,0,レース,,,,,,,
2013-10-10,テイクツー・インタラクティブ・ジャパン,グランド・セフト・オートV,40,-,ACT,-,14927_s,73,クライムアクション,,,,,,,
2013-10-10,セガ,サカつく プロサッカークラブをつくろう!,34,-,SPT,-,spo/92,0,スポーツ育成シミュレーション,,,,,,,
2013-10-10,バンダイナムコゲームス,テイルズ オブ シンフォニア ユニゾナントパック,-,-,-,-,rpg/97,0,-,,,,,,,
2013-10-10,コンパイルハート,フェアリーフェンサー エフ,32,-,RPG,-,rpg/94,0,RPG,,,,,,,
2013-10-17,エレクトロニック・アーツ,FIFA 14 ワールドクラス サッカー,37,-,SPT,FIFA,0,0,サッカー,,,,,,,
2013-10-17,ソニー・コンピュータエンタテインメント,ビヨンド ツーソウル,-,-,-,-,0,0,-,,,,,,,
2013-10-17,バンダイナムコゲームス,聖闘士星矢 ブレイブ・ソルジャーズ,30,-,ACT,-,0,0,小宇宙対戦アクション,,,,,,,
2013-10-24,アークシステムワークス,ブレイブルー クロノファンタズマ,34,-,FTG,-,0,0,2D対戦格闘+ビジュアルノベル,,,,,,,
2013-10-24,イエティ,ルートダブル -Before Crime * After Days- Xtend edition,33,-,ADV,ルートダブル -Before Crime * After Days-,0,0,SFサスペンスADV,,,,,,,
2013-10-24,コナミデジタルエンタテインメント,実況パワフルプロ野球2013,35,-,SPT,実況パワフルプロ野球,spo/94,0,野球・育成,,,,,,,
2013-10-24,サイバーフロント,家族計画 Re:紡ぐ糸,-,-,-,-,0,0,-,,,,,,,
2013-10-24,コーエーテクモゲームス,戦国無双2 with 猛将伝&Empires HD Version,-,-,-,戦国無双,0,0,-,,,,,,,
2013-10-31,アクアプラス,ティアーズ・トゥ・ティアラII 覇王の末裔,30,-,RPG,-,0,0,RPG,,,,,,,
2013-10-31,毎日コミュニケーションズ,麻雀覇王 段級バトル3,-,-,-,麻雀覇王 段級バトル,0,0,-,,,,,,,
2013-11-07,アクワイア,AKIBA'S TRIP2,33,-,AADV,AKIBA'S TRIP,0,0,アクションアドベンチャー,,,,,,,
