発売日,メーカー,タイトル,⭐クロスレビュー(評価),価格帯,ジャンル,シリーズ,ID,売り上げ本数(万本),ジャンル(詳細),👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー
2011-05-12,テイクツー・インタラクティブ・ジャパン,MLB2K11,-,-,-,MLB,0,0,-,,,,,,,
2011-05-12,バンダイナムコゲームス,涼宮ハルヒの追想,31,-,ADV,-,0,0,アドベンチャー,,,,,,,
2011-05-19,エレクトロニック・アーツ,Portal 2,-,-,-,Portal,0,0,-,,,,,,,
2011-05-26,コーエーテクモゲームス,TROY無双,31,-,ACT,-,act/60,0,タクティカルアクション,,,,,,,
2011-05-26,コーエーテクモゲームス,信長の野望・天道 with パワーアップキット,35,-,SLG,-,slg/19,0,歴史シミュレーション,,,,,,,
2011-05-26,アイディアファクトリー,緋色の欠片 愛蔵版 〜あかねいろの追憶〜,-,-,-,-,adv/14,0,-,,,,,,,
2011-06-09,スパイク,レッドファクション:アルマゲドン,34,-,TPS,-,0,0,TPS,,,,,,,
2011-06-09,フィールズ,激アツ!! パチゲー魂 VOL2 「ヱヴァンゲリヲン〜真実の翼〜」,-,-,-,激アツ!! パチゲー魂 VOL,0,0,-,,,,,,,
2011-06-09,セガ,龍が如く OF THE END,37,-,AADV,-,aad/39,0,アクションアドベンチャー,,,,,,,
2011-06-23,ソニー・コンピュータエンタテインメント,BLEACH ソウル・イグニッション,-,-,-,-,act/61,0,-,,,,,,,
2011-06-23,エレクトロニック・アーツ,Mass Effect 2,-,-,-,Mass Effect,0,0,-,,,,,,,
2011-06-23,テイクツー・インタラクティブ・ジャパン,グランド・セフト・オートIV コンプリートエディション,39,-,ACT,-,act/19,0,クライムアクション,,,,,,,
2011-06-23,ガスト,メルルのアトリエ 〜アーランドの錬金術士3〜,35,-,RPG,メルルのアトリエ 〜アーランドの錬金術士,rpg/45,0,RPG,,,,,,,
2011-06-30,カプコン,スーパーストリートファイターIV アーケードエディション,35,-,FTG,-,cbt/13,0,3D対戦格闘,,,,,,,
2011-06-30,サイバーフロント,テストドライブ アンリミテッド 2,33,-,SLG,テストドライブ アンリミテッド,rac/31,0,カーライフシミュレーター,,,,,,,
2011-06-30,セガ,パワースマッシュ 4,31,-,SPT,パワースマッシュ,0,0,テニス,,,,,,,
2011-07-07,ディースリー・パブリッシャー,EARTH DEFENSE FORCE: INSECT ARMAGEDDON,-,-,-,EARTH DEFENSE FORCE:,0,0,-,,,,,,,
2011-07-07,バンダイナムコゲームス,Knights Contract,-,-,-,-,act/62,0,-,,,,,,,
2011-07-07,テイクツー・インタラクティブ・ジャパン,L.A.ノワール,39,-,ETC,-,0,0,クライムスリラー,,,,,,,
2011-07-07,ソニー・コンピュータエンタテインメント,inFAMOUS 2,35,-,ACT,inFAMOUS,act/63,0,アクション,,,,,,,
2011-07-14,ベセスダ・ソフトワークス,Brink,30,-,FPS,-,0,0,FPS,,,,,,,
2011-07-14,毎日コミュニケーションズ,天頂の囲碁,-,-,-,-,otr/23,0,-,,,,,,,
2011-07-14,コナミデジタルエンタテインメント,実況パワフルプロ野球2011,37,-,SPT,実況パワフルプロ野球,spo/75,0,ベースボール,,,,,,,
2011-07-21,エレクトロニック・アーツ,Alice Madness Returns,-,-,-,-,0,0,-,,,,,,,
2011-07-21,ワーナー エンターテイメント ジャパン,F.E.A.R.3,-,-,-,F.E.A.R.,0,0,-,,,,,,,
2011-07-21,ユービーアイソフト,Sniper：Ghost Warrior,-,-,-,-,0,0,-,,,,,,,
2011-07-21,マーベラスエンターテイメント,ノーモア★ヒーローズ レッドゾーンエディション,32,-,ACT,-,0,0,アクション,,,,,,,
2011-07-28,コードマスターズ,オペレーションフラッシュポイント：レッドリバー,-,-,-,-,0,0,-,,,,,,,
2011-07-28,スクウェア・エニックス,ダンジョン・シージIII,30,-,ARPG,-,0,0,アクションRPG,,,,,,,
2011-07-28,ユービーアイソフト,フィット・イン・シックス カラダを鍛える6つの要素,-,-,-,フィット・イン・シックス カラダを鍛える,0,0,-,,,,,,,
2011-08-04,ユービーアイソフト,アサシン クリード ブラザーフッド スペシャルエディション,39,-,ACT,-,act/50,0,アクション,,,,,,,
2011-08-11,THQジャパン,WWEオールスターズ,30,-,SPT,-,0,0,プロレス,,,,,,,
2011-08-18,コンパイルハート,超次元ゲイム ネプテューヌmk2,-,-,-,超次元ゲイム ネプテューヌmk,rpg/50,0,-,,,,,,,
2011-08-25,コードマスターズ,DiRT 3,-,-,-,DiRT,0,0,-,,,,,,,
2011-08-25,ベセスダ・ソフトワークス,Hunted The Demon's Forge,-,-,-,-,act/66,0,-,,,,,,,
2011-08-25,カプコン,モンスターハンター ポータブル 3rd HD Ver.,-,-,-,モンスターハンター ポータブル,14950_s,44,-,,,,,,,
2011-08-25,コーエーテクモゲームス,戦国無双3 Empires,34,-,ACT,戦国無双,act/67,0,タクティカルアクション,,,,,,,
2011-09-08,ソニー・コンピュータエンタテインメント,RESISTANCE3,34,-,FPS,RESISTANCE,0,0,FPS,,,,,,,
2011-09-08,バンダイナムコゲームス,テイルズ オブ エクシリア,39,-,RPG,-,14929_s,67,RPG,,,,,,,
2011-09-08,カプコン,バイオハザード リバイバルセレクション,-,-,-,-,aad/42,0,-,,,,,,,
2011-09-15,5pb.,DUNAMIS15,-,-,-,DUNAMIS,adv/15,0,-,,,,,,,
2011-09-22,フロム・ソフトウェア,DARK SOULS,-,-,-,-,0,0,-,,,,,,,
2011-09-22,ソニー・コンピュータエンタテインメント,ICO,-,-,-,-,aad/44,0,-,,,,,,,
2011-09-22,アクアプラス,ToHeart2 DX PLUS,-,-,-,ToHeart,adv/16,0,-,,,,,,,
2011-09-22,エレクトロニック・アーツ,シャドウ オブ ザ ダムド,32,-,AADV,-,0,0,アクションAVG,,,,,,,
2011-09-22,コーエーテクモゲームス,チャンピオンジョッキー:ギャロップレーサー&ジーワンジョッキー,30,-,SLG,-,0,0,競馬シミュレーション,,,,,,,
2011-09-22,ソニー・コンピュータエンタテインメント,ワンダと巨像,-,-,-,-,aad/43,0,-,,,,,,,
2011-09-29,コナミデジタルエンタテインメント,MLBボブルヘッド!,30,-,SPT,-,0,0,野球,,,,,,,
2011-09-29,コーエーテクモゲームス,真・三國無双6 猛将伝,34,-,ACT,真・三國無双,act/56,0,タクティカルアクション,,,,,,,
2011-10-06,ユービーアイソフト,Child of Eden,-,-,-,-,0,0,-,,,,,,,
2011-10-06,コードマスターズ,F1 2011,32,-,RCG,-,rac/33,0,レース,,,,,,,
2011-10-06,ベセスダ・ソフトワークス,Rage,35,-,ASHT,-,0,0,アクションSTG,,,,,,,
2011-10-06,ソニー・コンピュータエンタテインメント,ゴッド・オブ・ウォー 落日の悲愴曲＆降誕の刻印HDコレクション,-,-,-,-,act/69,0,-,,,,,,,
2011-10-06,コナミデジタルエンタテインメント,ワールドサッカー ウイニングイレブン 2012,36,-,SPT,ワールドサッカー ウイニングイレブン,14970_s,49,サッカー,,,,,,,
2011-10-13,バンダイナムコゲームス,エースコンバット アサルト・ホライゾン,37,-,SHT,-,sho/83,0,フライトシューティング,,,,,,,
2011-10-13,ユービーアイソフト,コール・オブ・ファレス ザ・カルテル,31,-,FPS,-,0,0,FPS,,,,,,,
2011-10-13,カプコン,デッドライジング2：オフ・ザ・レコード,33,-,ACT,デッドライジング,act/70,0,ゾンビパラダイスアクション,,,,,,,
2011-10-20,スクウェア・エニックス,Deus Ex,-,-,-,-,0,0,-,,,,,,,
2011-10-20,テイクツー・インタラクティブ・ジャパン,NBA 2K12,35,-,SPT,NBA,0,0,バスケットボール,,,,,,,
2011-10-20,スパイク,デッドアイランド,34,-,ARPG,-,0,0,アクションRPG,,,,,,,
