id,release_date,title,publisher,bit_memory,price
144,2001-07-12,デジモンテイマーズ デジモンメドレー,バンダイ, ,4179
145,2001-07-26,LAST ALIVE,バンダイ, ,5040
146,2001-08-16,機動戦士ガンダムVol.2 JABURO,バンダイ, ,5229
147,2001-08-23,HUNTER×HUNTER 〜導かれし者〜,バンダイ, ,4725
148,2001-09-13,From TV animation ONE PIECE 〜虹の島伝説〜,バンダイ, ,4725
149,2001-09-27,GUILTY GEAR PETIT2,サミー, ,5040
150,2001-09-27,スターハーツ 〜星と大地の使者〜,バンダイ, ,5229
151,2001-10-06,デジモンテイマーズ バトルスピリット,バンダイ, ,4410
152,2001-10-25,マリー&エリー 〜ふたりのアトリエ〜,イースリースタッフ, ,5040
153,2001-11-02,犬夜叉 〜かごめの戦国日記〜,バンダイ, ,4725
154,2001-11-15,ファイナルラップスペシャル,バンダイ, ,4725
155,2001-12-13,スーパーロボット大戦COMPACT for WonderSwanColor,バンプレスト, ,5040
156,2001-12-20,ロマンシング サ・ガ,スクウェア, ,5450
157,2001-12-20,Xi［sai］Little,バンダイ, ,3990
158,2001-12-29,デジモンテイマーズ ブレイブテイマー,バンダイ, ,4725
159,2002-01-03,From TV animation ONE PIECE トレジャーウォーズ,バンダイ, ,4725
160,2002-02-07,RUN＝DIM －Return of Earth－,デジタルドリーム, ,4950
161,2002-02-14,半熟英雄 ああ、世界よ半熟なれ…!!,スクウェア, ,5450
162,2002-02-16,SDガンダム オペレーションU.C.,バンダイ, ,4179
163,2002-02-28,ゴールデンアックス,バンダイ, ,5040
164,2002-03-02,キン肉マンII世 ドリームタッグマッチ,バンダイ, ,4410
165,2002-03-16,デジタルモンスター カードゲーム Ver. WonderSwanColor,バンダイ, ,4410
166,2002-03-20,魔界塔士Sa・Ga,スクウェア,32M,5450
167,2002-03-29,ファイナルファンタジーIV,スクウェア, ,5450
168,2002-04-18,テトリス,ヴァンガード, ,2940
169,2002-04-27,デジモンテイマーズ バトルスピリットVer.1.5,バンダイ, ,4179
170,2002-05-25,機動戦士ガンダムVol.3 A BAOA QU,バンダイ, ,5229
171,2002-06-13,グランスタ クロニクル,メガトロン, ,5450
172,2002-06-27,X CARD OF FATE,バンダイ, ,5229
173,2002-07-04,アークザラッド 機神復活,バンダイ, ,5229
174,2002-07-12,FRONT MISSION,スクウェア, ,5450
175,2002-07-12,From TV animation ONE PIECE グランドバトル 〜スワンコロシアム〜,バンダイ, ,4725
