発売日,メーカー,タイトル,⭐クロスレビュー(評価),パッケージ併売,ジャンル,開発元,ID,販売本数,ジャンル(詳細),プラットフォーム
2014-06-26,ソニー・コンピュータエンタテインメント,FREEDOM WARS フリーダムウォーズ,-,YES,ETC,ソニー・コンピュータエンタテインメント,0,1,その他,PS Vita
2014-06-26,5pb.,ROBOTICS;NOTES ELITE,-,YES,ETC,5pb.,0,1,その他,PS Vita
2014-06-26,バンダイナムコゲームス,ガールズ&パンツァー 戦車道、極めます!,-,YES,ETC,バンダイナムコゲームス,0,1,その他,PS Vita
2014-06-26,dramatic create,穢翼のユースティア Angel's blessing,-,YES,ETC,dramatic create,0,1,その他,PS Vita
2014-07-03,アークシステムワークス,FANTASY HERO unsigned legacy,-,,ETC,アークシステムワークス,0,1,その他,PS Vita
2014-07-15,セガ,チェインクロニクルV,-,,ETC,セガ,0,1,その他,PS Vita
2014-07-17,TAKUYO,ソラユメ,-,YES,ETC,TAKUYO,0,1,その他,PS Vita
2014-07-17,ソニー・コンピュータエンタテインメント,俺の屍を越えてゆけ2Oreshika: Tainted Bloodlines,-,YES,ETC,ソニー・コンピュータエンタテインメント,0,1,その他,PS Vita
2014-07-17,Future Tech Lab,爽海バッカニアーズ!,-,YES,ETC,Future Tech Lab,0,1,その他,PS Vita
2014-07-23,スパイク・チュンソフト,せかい☆セイフク 〜COSTUME FES.〜,-,,ETC,スパイク・チュンソフト,0,1,その他,PS Vita
2014-07-24,ソニー・コンピュータエンタテインメント,Entwined,-,,ETC,ソニー・コンピュータエンタテインメント,0,1,その他,PS Vita
2014-07-24,アイディアファクトリー,RE：VICE D,30,YES,ADV,アイディアファクトリー,0,1,魔王に捧げる恋愛ADV,PS Vita
2014-07-24,スクウェア・エニックスBigben Interactive,WRC 4 FIA ワールドラリーチャンピオンシップ,30,YES,RCG,スクウェア・エニックスBigben Interactive,0,1,レース,PS Vita
2014-07-24,5pb.Xseed Games,コープスパーティー BLOOD DRIVE,-,YES,ETC,5pb.Xseed Games,adv/56,1,その他,PS Vita
2014-07-24,イエティSekai Project,ルートダブル -Before Crime * After Days-,-,YES,ETC,イエティSekai Project,0,1,その他,PS Vita
2014-07-24,5pb.NIS America,東京新世録 オペレーションアビスOperation Abyss: New Tokyo Legacy,-,YES,ETC,5pb.NIS America,0,1,その他,PS Vita
2014-07-24,light,相州戦神館學園 八命陣 天之刻,-,YES,ETC,light,0,1,その他,PS Vita
2014-07-31,ユービーアイソフト,チャイルド オブ ライト スペシャルエディション,-,YES,ETC,ユービーアイソフト,rpg/53,1,その他,PS Vita
2014-07-31,5pb.,解放少女 SIN,-,YES,ETC,5pb.,0,1,その他,PS Vita
2014-08-07,アークシステムワークス,オセロ,-,,ETC,アークシステムワークス,0,1,その他,PS Vita
2014-08-07,フリューAtlus USA (NA)NIS America (EU),ロストディメンション,33,YES,RPG,フリューAtlus USA (NA)NIS America (EU),0,1,RPG,PS Vita
2014-08-07,日本一ソフトウェア,真 流行り神,31,YES,ADV,日本一ソフトウェア,adv/59,1,ホラーアドベンチャー,PS Vita
2014-08-13,ソニー・コンピュータエンタテインメント,ホホクム,-,,ETC,ソニー・コンピュータエンタテインメント,0,1,その他,PS Vita
2014-08-13,カプコン,モンスターハンター フロンティア G,-,YES,ETC,カプコン,0,1,その他,PS Vita
2014-08-14,プロトタイプ,CLANNAD,-,YES,ETC,プロトタイプ,0,1,その他,PS Vita
2014-08-20,Polytron Corporation Inc.,FEZ,-,,ETC,Polytron Corporation Inc.,0,1,その他,PS Vita
2014-08-21,5pb.,CHAOS;HEAD DUAL,-,YES,ETC,5pb.,0,1,その他,PS Vita
2014-08-21,ソニー・コンピュータエンタテインメント,CounterSpy,-,,ETC,ソニー・コンピュータエンタテインメント,0,1,その他,PS Vita
2014-08-21,トライエース,ジューダス コード,-,,ETC,トライエース,0,1,その他,PS Vita
2014-08-21,ディースリー・パブリッシャー,バレットガールズ,30,YES,ASHT,ディースリー・パブリッシャー,sho/13,1,アクションシューティング,PS Vita
2014-08-26,スクウェア・エニックス,Stealth Inc：A Clone in the Dark ULTIMATE EDITION,32,,ACT,スクウェア・エニックス,0,1,アクションパズル,PS Vita
2014-08-28,プロトタイプ,Rewrite,-,YES,ETC,プロトタイプ,0,1,その他,PS Vita
2014-08-28,テイジイエル企画,キスベル,-,YES,ETC,テイジイエル企画,0,1,その他,PS Vita
2014-08-28,マーベラス,ハイスクールD×D ニューファイト,-,,ETC,マーベラス,0,1,その他,PS Vita
2014-08-28,角川ゲームス,ラブライブ! School idol paradice Vol.1 Printemps,-,YES,ETC,角川ゲームス,0,1,その他,PS Vita
2014-08-28,角川ゲームス,ラブライブ! School idol paradice Vol.2 BiBi,-,YES,ETC,角川ゲームス,0,1,その他,PS Vita
2014-08-28,角川ゲームス,ラブライブ! School idol paradice Vol.3 Lily white,-,YES,ETC,角川ゲームス,0,1,その他,PS Vita
2014-08-28,加賀クリエイト,恋愛0キロメートルV,-,YES,ETC,加賀クリエイト,0,1,その他,PS Vita
2014-08-28,コーエーテクモゲームス,討鬼伝 極,37,YES,ACT,コーエーテクモゲームス,act/60,1,ハンティングアクション,PS Vita
2014-08-28,コンパイルハート,超次元アクション ネプテューヌUHyperdimension Neptunia U: Action Unleashed,-,YES,ETC,コンパイルハート,0,1,その他,PS Vita
2014-08-28,5pb.,迷宮クロスブラッド インフィニティ Ultimate,-,YES,ETC,5pb.,0,1,その他,PS Vita
2014-09-04,アイディアファクトリー,Binary Star,31,YES,ADV,アイディアファクトリー,oto/11,1,恋愛アドベンチャー,PS Vita
2014-09-04,スクウェア・エニックス,THE WALKING DEAD,-,YES,ETC,スクウェア・エニックス,0,1,その他,PS Vita
2014-09-17,スクウェア・エニックス,Divekick: Addition Edition,32,,FTG,スクウェア・エニックス,0,1,対戦格闘,PS Vita
2014-09-17,FuturLab Limited,Velocity 2X【英語版】,-,,ETC,FuturLab Limited,0,1,その他,PS Vita
2014-09-24,Double Eleven Limited,Frozen Synapse Prime,-,,ETC,Double Eleven Limited,0,1,その他,PS Vita
2014-09-24,Rollingmedia Limited,OlliOlli,-,,ETC,Rollingmedia Limited,0,1,その他,PS Vita
2014-09-25,ソニー・コンピュータエンタテインメント,むらさきべいびー,-,,ETC,ソニー・コンピュータエンタテインメント,0,1,その他,PS Vita
2014-09-25,dramatic create,ものべの -pure smile-,-,YES,ETC,dramatic create,0,1,その他,PS Vita
2014-09-25,アクアプラスNA: Atlus USAEU: NIS America,ダンジョントラベラーズ2 王立図書館とマモノの封印Dungeon Travelers 2: The Royal Library & the Monster Seal,-,YES,ETC,アクアプラスNA: Atlus USAEU: NIS America,0,1,その他,PS Vita
2014-09-25,インターグローFocus Home Interactive,ファーミングシミュレーター 14 ポケット農園 2Farming Simulator 14,-,YES,ETC,インターグローFocus Home Interactive,0,1,その他,PS Vita
2014-09-25,マーベラス,幕末Rock 超魂,32,YES,ADV,マーベラス,oto/12,1,歌で戦う幕末革命ADV,PS Vita
2014-09-25,TAKUYO,神さまと恋ゴコロ,-,YES,ETC,TAKUYO,0,1,その他,PS Vita
2014-09-25,スパイク・チュンソフトNIS America,絶対絶望少女 ダンガンロンパ AnotherEpisodeDanganronpa Another Episode: Ultra Despair Girls,-,YES,ETC,スパイク・チュンソフトNIS America,0,1,その他,PS Vita
2014-09-25,5pb.,花咲くまにまに,-,YES,ETC,5pb.,0,1,その他,PS Vita
2014-09-25,日本ファルコムXseed Games (NA)NIS America (EU),英雄伝説 閃の軌跡IIThe Legend of Heroes: Trails of Cold Steel II,-,YES,ETC,日本ファルコムXseed Games (NA)NIS America (EU),0,1,その他,PS Vita
2014-10-02,ガストKoei Tecmo,アルノサージュ Plus 〜生まれいずる星へ祈る詩〜Ar Nosurge Plus,-,YES,ETC,ガストKoei Tecmo,0,1,その他,PS Vita
2014-10-02,ガスト,シェルノサージュ Offline 〜失われた星へ捧ぐ詩〜,31,YES,ETC,ガスト,0,1,7次元コミュニケーション,PS Vita
