発売日,メーカー,タイトル,⭐クロスレビュー(評価),パッケージ併売,ジャンル,開発元,ID,販売本数,ジャンル(詳細),プラットフォーム
2014-02-22,Compulsion Games,Contrast,-,,ETC,Compulsion Games,0,1,その他,その他
2014-02-22,ソニー・コンピュータエンタテインメント,Doki-Doki Universe,-,,ETC,ソニー・コンピュータエンタテインメント,0,1,その他,その他
2014-02-22,Klei Entertainment,Don't Strave: Console Edition,-,,ETC,Klei Entertainment,0,1,その他,その他
2014-02-22,ソニー・コンピュータエンタテインメント,Escape Plan,-,,ETC,ソニー・コンピュータエンタテインメント,0,1,その他,その他
2014-02-22,エレクトロニック・アーツ,FIFA 14 ワールドクラスサッカー,37,YES,SPT,エレクトロニック・アーツ,20_0m_20,1,サッカー,その他
2014-02-22,ソニー・コンピュータエンタテインメント,Flowery,-,,ETC,ソニー・コンピュータエンタテインメント,0,1,その他,その他
2014-02-22,ソニー・コンピュータエンタテインメント,KILLZONE SHADOW FALL,32,YES,FPS,ソニー・コンピュータエンタテインメント,24_0m_24,1,FPS,その他
2014-02-22,ソニー・コンピュータエンタテインメント,KNACK,-,YES,ETC,ソニー・コンピュータエンタテインメント,0,1,その他,その他
2014-02-22,テイクツー・インタラクティブ・ジャパン,NBA 2K14,36,YES,SPT,テイクツー・インタラクティブ・ジャパン,0,1,バスケットボール,その他
2014-02-22,ソニー・コンピュータエンタテインメント,RESOGUN,33,,SHT,ソニー・コンピュータエンタテインメント,0,1,シューティング,その他
2014-02-22,Digital Extremes,Warframe,-,,ETC,Digital Extremes,0,1,その他,その他
2014-02-22,ソニー・コンピュータエンタテインメント,flOw,-,,ETC,ソニー・コンピュータエンタテインメント,0,1,その他,その他
2014-02-22,アークシステムワークス,とってもE麻雀ぷらす,-,,ETC,アークシステムワークス,0,1,その他,その他
2014-02-22,ユービーアイソフト,アサシン クリード IV ブラック フラッグ,36,YES,ACT,ユービーアイソフト,12_0m_12,1,ステルスアクション,その他
2014-02-22,スクウェア・エニックス,コール オブ デューティ ゴースト,36,YES,FPS,スクウェア・エニックス,23_0m_23,1,FPS,その他
2014-02-22,ソニー・コンピュータエンタテインメント,サウンドシェイプ,-,,ETC,ソニー・コンピュータエンタテインメント,0,1,その他,その他
2014-02-22,カプコン,ストライダー飛竜,34,,ACT,カプコン,0,1,ハイスピード探索アクション,その他
2014-02-22,スクウェア・エニックス,トゥームレイダー ディフィニティブ エディション,37,YES,ACT,スクウェア・エニックス,26_0m_26,1,サバイバルアクション,その他
2014-02-22,ディースリー・パブリッシャー,ドリームクラブ ホストガール オンステージ,-,,ETC,ディースリー・パブリッシャー,0,1,その他,その他
2014-02-22,ハムスター,ニコリのパズル4 数独,-,,ETC,ハムスター,0,1,その他,その他
2014-02-22,エレクトロニック・アーツ,ニード・フォー・スピード ライバルズ,34,YES,RCG,エレクトロニック・アーツ,144_0m_94,1,カーレース,その他
