発売日,メーカー,タイトル,⭐クロスレビュー(評価),パッケージ併売,ジャンル,開発元,ID,販売本数,プラットフォーム
2011-06-23,バンダイナムコゲームス,パックマン&ギャラガ ディメンションズ,2,YES,その他,バンダイナムコゲームス,0,1,その他
2011-06-29,ディースリー・パブリッシャー,@SIMPLE DLシリーズ Vol.1 THE 密室からの脱出 〜不思議なクマドナルバーガー編〜,2,,その他,ディースリー・パブリッシャー,0,1,その他
2011-06-29,シルバースタージャパン Agetec,ラビラビ外伝 Witch's Cat Witch's Cat,2,,その他,シルバースタージャパン Agetec,0,1,その他
2011-06-30,バンダイナムコゲームス,テイルズ オブ ジ アビス,2,YES,その他,バンダイナムコゲームス,0,1,その他
2011-07-07,コナミデジタルエンタテインメント,ドクターロートレックと忘却の騎士団 Doctor Lautrec and the Forgotten Knights,2,YES,その他,コナミデジタルエンタテインメント,0,1,その他
2011-07-07,アクワイア,剣と魔法と学園モノ。3D,2,YES,その他,アクワイア,0,1,その他
2011-07-13,任天堂,3Dクラシックス アーバンチャンピオン,2,,その他,任天堂,0,1,その他
2011-07-14,フリュー Xseed Games（英語版）,アンチェインブレイズ レクス Unchained Blades,2,YES,その他,フリュー Xseed Games（英語版）,0,1,その他
2011-07-14,任天堂,スターフォックス64 3D,2,YES,その他,任天堂,0,1,その他
2011-07-20,ハムスター,ニコリのパズル 美術館 Akari by Nikoli,2,,その他,ハムスター,0,1,その他
2011-07-21,サンタエンタテイメント Natsume,うしみつモンストルオ リンゼと魔法のリズム Gabrielle's Ghostly Groove 3D,2,YES,その他,サンタエンタテイメント Natsume,0,1,その他
2011-07-21,日本一ソフトウェア,ビックリマン漢熟覇王 三位動乱戦創紀,2,YES,その他,日本一ソフトウェア,0,1,その他
2011-07-27,ジュピター,ピクロスe,2,,その他,ジュピター,0,1,その他
2011-07-27,シルバースタージャパン,銀星将棋3D,2,,その他,シルバースタージャパン,0,1,その他
2011-08-03,ハムスター,ニコリのパズル カックロ Kakuro by Nikoli,2,,その他,ハムスター,0,1,その他
2011-08-03,ゲームロフト,レッツ!ゴルフ 3D,2,,その他,ゲームロフト,0,1,その他
2011-08-04,カプコン,謎惑館 〜音の間に間に〜,2,YES,その他,カプコン,0,1,その他
2011-08-10,任天堂,3Dクラシックス ツインビー,2,,その他,任天堂,0,1,その他
2011-08-10,アークシステムワークス,ARC STYLE: Jazzy BILLIARDS 3D Professional,2,,その他,アークシステムワークス,0,1,その他
2011-08-10,アークシステムワークス,VectorRacing,2,,その他,アークシステムワークス,0,1,その他
2011-08-11,GAE,びっくり! とびだす! 魔法のペン,2,YES,その他,GAE,0,1,その他
2011-08-11,ポケモン Nintendo,スーパーポケモンスクランブル 北米: Pokémon Rumble Blast 欧州: Super Pokemon Rumble,2,YES,その他,ポケモン Nintendo,0,1,その他
2011-08-24,ハムスター,ニコリのパズル スリザーリンクSlitherlink by Nikoli,2,,その他,ハムスター,0,1,その他
2011-08-25,マイルストーン,両目で右脳を鍛える 3D速読術,2,YES,その他,マイルストーン,0,1,その他
2011-08-31,ハムスター,ニコリのパズル ぬりかべ Nurikabe by Nikoli,2,,その他,ハムスター,0,1,その他
2011-09-01,アトラス 北米: Ghostlight（英語版）,デビルサバイバー オーバークロックShin Megami Tensei: Devil Survivor Overclocked,2,YES,その他,アトラス 北米: Ghostlight（英語版）,0,1,その他
2011-09-07,任天堂,"いきものづくり クリエイトーイFreakyforms: Your Creations, Alive!",2,,その他,任天堂,0,1,その他
2011-09-14,アークシステムワークス,おきらくボウリング3DFamily Bowling 3D,2,,その他,アークシステムワークス,0,1,その他
2011-09-14,インテンス,ドットイーター ニューピックダンDot Runner: Complete Edition,2,,その他,インテンス,0,1,その他
2011-09-14,ハムスター,ニコリのパズル へやわけHeyawake by Nikoli,2,,その他,ハムスター,0,1,その他
2011-09-22,コナミデジタルエンタテインメント,フロッガー3D（英語版）Frogger 3D,2,YES,その他,コナミデジタルエンタテインメント,0,1,その他
2011-09-22,マーベラスエンターテイメント,閃乱カグラ -少女達の真影-,2,YES,その他,マーベラスエンターテイメント,0,1,その他
2011-09-28,アークシステムワークス,おきらくテニス3D Family Tennis 3D,2,,その他,アークシステムワークス,0,1,その他
2011-09-28,ハムスター,ニコリのパズル ましゅMasyu by Nikoli,2,,その他,ハムスター,0,1,その他
2011-09-29,任天堂,花といきもの立体図鑑,2,YES,その他,任天堂,0,1,その他
2011-10-05,アークシステムワークス,おてがるパズルシリーズ アリスと魔法のトランプ,2,,その他,アークシステムワークス,0,1,その他
2011-10-05,任天堂,引ク押ス 北米: Pushmo 欧州: Pullblox,2,,その他,任天堂,0,1,その他
2011-10-06,スターフィッシュ・エスディ,スーパーブラックバス 3Dファイト,2,YES,その他,スターフィッシュ・エスディ,0,1,その他
2011-10-19,アークシステムワークス,ARC STYLE: ソリティア,2,,その他,アークシステムワークス,0,1,その他
2011-10-19,シルバースタージャパン Agetec,怪盗スティナと30の宝石 The Phantom Thief Stina and 30 Jewels,2,,その他,シルバースタージャパン Agetec,0,1,その他
2011-10-20,バンダイナムコゲームス 北米: Nintendo 欧州: Tetris Online（英語版）,テトリス Tetris: Axis,2,YES,その他,バンダイナムコゲームス 北米: Nintendo 欧州: Tetris Online（英語版）,0,1,その他
2011-10-21,任天堂,疾走すりぬけ アナトウス 北米: Ketzal's Corridors 欧州: SpeedThru: Potzol's Puzzle,2,,その他,任天堂,0,1,その他
2011-10-26,シルバースタージャパン Agetec,タッチバトル戦車3D,2,,その他,シルバースタージャパン Agetec,0,1,その他
2011-10-26,ハムスター,ニコリのパズル ひとりにしてくれHitori by Nikoli,2,,その他,ハムスター,0,1,その他
2011-10-27,バンダイナムコゲームス,勇現会社ブレイブカンパニー,2,YES,その他,バンダイナムコゲームス,0,1,その他
2011-10-27,日本コロムビア,豆しば,2,YES,その他,日本コロムビア,0,1,その他
