発売日,メーカー,タイトル,⭐クロスレビュー(評価),パッケージ併売,ジャンル,開発元,ID,販売本数,プラットフォーム
2013-03-20,タカラトミーアーツ,プリティーリズム マイ☆デコレインボーウエディング,2,YES,その他,タカラトミーアーツ,0,1,その他
2013-03-20,任天堂,ルイージマンション2 Luigi's Mansion: Dark Moon,2,YES,その他,任天堂,0,1,その他
2013-03-27,セガ,3D スーパーハングオン,2,,その他,セガ,0,1,その他
2013-03-27,レベルファイブ,宇宙船ダムレイ号,2,,その他,レベルファイブ,0,1,その他
2013-03-27,サイバーフロント Endgame Studios,砕魂 〜さいたま〜 Fractured Soul,2,,その他,サイバーフロント Endgame Studios,0,1,その他
2013-03-28,クロン,初心者から日本一まで そろばん・あんざん・フラッシュ暗算,2,YES,その他,クロン,0,1,その他
2013-04-03,ディースリー・パブリッシャー,@SIMPLE DLシリーズ Vol.10 THE 浮気彼氏 〜クリスマス中止のお知らせ〜,2,,その他,ディースリー・パブリッシャー,0,1,その他
2013-04-03,ディースリー・パブリッシャー,@SIMPLE DLシリーズ Vol.9 THE 密室からの脱出 〜テレビ局密着24時編〜,2,,その他,ディースリー・パブリッシャー,0,1,その他
2013-04-03,アークシステムワークス,毎度 へぼ将棋,2,,その他,アークシステムワークス,0,1,その他
2013-04-04,インターグロー Focus Home Interactive（英語版）,Farming Simulator 3Dポケット農園 Farming Simulator 3D|Farming Simulator 2012 3D,2,YES,その他,インターグロー Focus Home Interactive（英語版）,0,1,その他
2013-04-04,IEインスティテュート,キッパーのえいご教室 Floppy's Phonics vol.1 キッパー編,2,YES,その他,IEインスティテュート,0,1,その他
2013-04-04,IEインスティテュート,キッパーのえいご教室 Floppy's Phonics vol.2 ビフ編,2,YES,その他,IEインスティテュート,0,1,その他
2013-04-04,IEインスティテュート,キッパーのえいご教室 Floppy's Phonics vol.3 チップ編,2,YES,その他,IEインスティテュート,0,1,その他
2013-04-10,任天堂,ザ・ローリング・ウエスタン 最後の用心棒 Dillon's Rolling Western: The Last Ranger,2,,その他,任天堂,0,1,その他
2013-04-10,任天堂,"大盛り!いきものづくり クリエイトーイ Freakyforms Deluxe: Your Creations, Alive!",2,,その他,任天堂,0,1,その他
2013-04-11,フリュー,カードファイト!! ヴァンガード ライド トゥ ビクトリー!!,2,YES,その他,フリュー,0,1,その他
2013-04-17,ハムスター,ニコリのパズル ヤジリン,2,,その他,ハムスター,0,1,その他
2013-04-17,テヨンジャパン Gamelion Studios,ピックス3D,2,,その他,テヨンジャパン Gamelion Studios,0,1,その他
2013-04-17,フライハイワークス Circle Entertainment,魔女と勇者 Witch & Hero,2,,その他,フライハイワークス Circle Entertainment,0,1,その他
2013-04-18,エム・ティー・オー Ubisoft,オシャレでかわいい子犬と遊ぼ! 街編 Petz Countryside,2,YES,その他,エム・ティー・オー Ubisoft,0,1,その他
2013-04-18,任天堂,トモダチコレクション 新生活 Tomodachi Life,2,YES,その他,任天堂,0,1,その他
2013-04-23,任天堂,いっしょにフォト スーパーマリオ,2,,その他,任天堂,0,1,その他
2013-04-24,ディースリー・パブリッシャー,@SIMPLE DLシリーズ Vol.11 THE 浮気彼氏 〜家政婦が見た浮気現場〜,2,,その他,ディースリー・パブリッシャー,0,1,その他
2013-04-24,ディースリー・パブリッシャー,@SIMPLE DLシリーズ Vol.12 THE 密室からの脱出 〜危険な5つの密室〜,2,,その他,ディースリー・パブリッシャー,0,1,その他
2013-04-24,トムクリエイト,たまご大冒険,2,,その他,トムクリエイト,0,1,その他
2013-04-24,アークシステムワークス Shin'en Multimedia,アートオブバランス タッチ!（英語版）,2,,その他,アークシステムワークス Shin'en Multimedia,0,1,その他
2013-04-25,アスガルド,Starry☆Sky〜in Spring〜3D,2,YES,その他,アスガルド,0,1,その他
2013-04-25,バンダイナムコゲームス,名探偵コナン マリオネット交響曲,2,YES,その他,バンダイナムコゲームス,0,1,その他
2013-05-08,アークシステムワークス,コロケス,2,,その他,アークシステムワークス,0,1,その他
2013-05-08,甲南電機製作所 Teyon,スイートランデブー さるっぱ Banana Bliss: Jungle Puzzles,2,,その他,甲南電機製作所 Teyon,0,1,その他
2013-05-08,メディア・ファイブ,マル合格! 基本情報技術者試験 平成26年度版,2,,その他,メディア・ファイブ,0,1,その他
2013-05-08,メディア・ファイブ,マル合格! 応用情報技術者試験 平成26年度版,2,,その他,メディア・ファイブ,0,1,その他
2013-05-15,セガ,3D ソニック・ザ・ヘッジホッグ,2,,その他,セガ,0,1,その他
2013-05-22,フライハイワークス Hörberg Productions,ガンマンストーリー Gunman Clive,2,,その他,フライハイワークス Hörberg Productions,0,1,その他
2013-05-23,バンダイナムコゲームス,たまごっちのドキドキ☆ドリームおみせっち,2,YES,その他,バンダイナムコゲームス,0,1,その他
2013-05-23,カルチャーブレーン,ぬいぐるみのケーキ屋さん 〜魔法のパティシエール〜,2,YES,その他,カルチャーブレーン,0,1,その他
2013-05-23,アトラス,真・女神転生IV,2,YES,その他,アトラス,0,1,その他
2013-05-29,セガ,3D 獣王記 3D Altered Beast,2,,その他,セガ,0,1,その他
2013-05-29,アークシステムワークス,どぎめぎインリョクちゃん,2,,その他,アークシステムワークス,0,1,その他
2013-05-30,ソニックパワード,キラ★メキ おしゃれサロン! 〜わたしのしごとは美容師さん〜,2,YES,その他,ソニックパワード,0,1,その他
2013-06-05,アークシステムワークス,SWORDS & SOLDIERS 3D,2,,その他,アークシステムワークス,0,1,その他
2013-06-05,ファンユニット Teyon,peakvox CUBE タクティクス Cube Tactics,2,,その他,ファンユニット Teyon,0,1,その他
2013-06-05,シルバースタージャパン Agetec,タッチバトル戦車3D-2,2,,その他,シルバースタージャパン Agetec,0,1,その他
2013-06-05,メディア・ファイブ,マル合格! 宅地建物取引士試験,2,,その他,メディア・ファイブ,0,1,その他
2013-06-12,ディースリー・パブリッシャー,@SIMPLE DLシリーズ Vol.13 THE タクシー 〜僕はカリスマ運転手〜,2,,その他,ディースリー・パブリッシャー,0,1,その他
2013-06-12,ジースタイル 欧州: Joindots,CHAIN BLASTER,2,,その他,ジースタイル 欧州: Joindots,0,1,その他
2013-06-12,ジュピター,ピクロスe3,2,,その他,ジュピター,0,1,その他
2013-06-13,任天堂,ドンキーコング リターンズ 3D Donkey Kong Country Returns 3D,2,YES,その他,任天堂,0,1,その他
2013-06-13,スクウェア・エニックス,超速変形ジャイロゼッター アルバロスの翼,2,YES,その他,スクウェア・エニックス,0,1,その他
2013-06-19,メディア・ファイブ,マル合格! ケアマネジャー試験,2,,その他,メディア・ファイブ,0,1,その他
2013-06-20,アガツマ・エンタテインメント 北米: Natsume,さよなら 海腹川背 Yumi's Odd Odyssey,2,YES,その他,アガツマ・エンタテインメント 北米: Natsume,0,1,その他
2013-06-20,バンダイナムコゲームス Nintendo,クマ・トモ Teddy Together,2,YES,その他,バンダイナムコゲームス Nintendo,0,1,その他
2013-06-20,ハムスター,忍者じゃじゃ丸くん さくら姫と火竜のひみつ,2,YES,その他,ハムスター,0,1,その他
2013-06-26,セガ,3D エコー・ザ・ドルフィン,2,,その他,セガ,0,1,その他
2013-06-26,フライハイワークス QubicGames,ゲキヤバランナー 2 Fast 4 Gnomz,2,,その他,フライハイワークス QubicGames,0,1,その他
2013-06-26,テヨンジャパン Pixel Toys,スーパーリトルリス3D Super Little Acorns 3D Turbo,2,,その他,テヨンジャパン Pixel Toys,0,1,その他
2013-06-27,アスガルド,Starry☆Sky〜in Summer〜3D,2,YES,その他,アスガルド,0,1,その他
2013-06-27,バンダイナムコゲームス,デジモンワールド リ:デジタイズ デコード,2,YES,その他,バンダイナムコゲームス,0,1,その他
2013-06-27,アトラス 欧州: NIS America,新・世界樹の迷宮 ミレニアムの少女 Etrian Odyssey Untold: The Millennium Girl,2,YES,その他,アトラス 欧州: NIS America,0,1,その他
2013-07-03,メディア・ファイブ,グレコからの挑戦状! 漢字の館とオバケたち 小学1年生,2,,その他,メディア・ファイブ,0,1,その他
2013-07-03,メディア・ファイブ,グレコからの挑戦状! 漢字の館とオバケたち 小学2年生,2,,その他,メディア・ファイブ,0,1,その他
2013-07-03,メディア・ファイブ,グレコからの挑戦状! 漢字の館とオバケたち 小学3年生,2,,その他,メディア・ファイブ,0,1,その他
2013-07-03,メディア・ファイブ,グレコからの挑戦状! 漢字の館とオバケたち 小学4年生,2,,その他,メディア・ファイブ,0,1,その他
2013-07-03,メディア・ファイブ,グレコからの挑戦状! 漢字の館とオバケたち 小学5年生,2,,その他,メディア・ファイブ,0,1,その他
2013-07-03,メディア・ファイブ,グレコからの挑戦状! 漢字の館とオバケたち 小学6年生,2,,その他,メディア・ファイブ,0,1,その他
2013-07-03,テヨンジャパン Gamelion Studios,モンスターシューター,2,,その他,テヨンジャパン Gamelion Studios,0,1,その他
2013-07-03,任天堂,実写でちびロボ! Chibi-Robo! Photo Finder,2,,その他,任天堂,0,1,その他
2013-07-04,日本コロムビア,まめゴマ はっぴー!スイーツファーム,2,YES,その他,日本コロムビア,0,1,その他
2013-07-04,バンダイナムコゲームス,トリコ グルメガバトル!,2,YES,その他,バンダイナムコゲームス,0,1,その他
2013-07-10,アークシステムワークス 北米: Aksys Games 欧州: Rising Star Games,BIT.TRIP SAGA,2,,その他,アークシステムワークス 北米: Aksys Games 欧州: Rising Star Games,0,1,その他
2013-07-10,DETUNE,KORG M01D,2,,その他,DETUNE,0,1,その他
2013-07-10,ジースタイル,ゾンゲリボウリング,2,,その他,ジースタイル,0,1,その他
2013-07-10,メディア・ファイブ,マル合格! 行政書士試験,2,,その他,メディア・ファイブ,0,1,その他
2013-07-11,レベルファイブ Nintendo,妖怪ウォッチ,2,YES,その他,レベルファイブ Nintendo,0,1,その他
2013-07-12,スクウェア・エニックス Activision,スカイランダーズ スパイロの大冒険 Skylanders: Spyro's Adventure,2,YES,その他,スクウェア・エニックス Activision,0,1,その他
2013-07-17,アークシステムワークス,ゾンビズクール2,2,,その他,アークシステムワークス,0,1,その他
2013-07-18,バーグサラ・ライトウェイト,おしゃれハムスターと暮らそう いっしょにおでかけ Brilliant Hamsters!,2,YES,その他,バーグサラ・ライトウェイト,0,1,その他
2013-07-18,レベルファイブ,ダンボール戦機W 超カスタム,2,YES,その他,レベルファイブ,0,1,その他
2013-07-18,任天堂,マリオ&ルイージRPG4 ドリームアドベンチャー Mario & Luigi: Dream Team,2,YES,その他,任天堂,0,1,その他
2013-07-24,セガ,3D ギャラクシーフォースII,2,,その他,セガ,0,1,その他
2013-07-24,ロケーション,みんなのおしゃべりチャット,2,,その他,ロケーション,0,1,その他
2013-07-24,アークシステムワークス Big John Games,ジェットコースターをつくろう!3D Coaster Creator 3D,2,,その他,アークシステムワークス Big John Games,0,1,その他
2013-07-24,任天堂,マリオ AND ドンキーコング ミニミニカーニバル Mario and Donkey Kong: Minis on the Move,2,,その他,任天堂,0,1,その他
2013-07-25,アルケミスト,ちび☆デビ!2 〜魔法のゆめえほん〜,2,YES,その他,アルケミスト,0,1,その他
2013-07-25,日本コロムビア,ほっぺちゃん つくって!あそんで!ぷにぷにタウン!!,2,YES,その他,日本コロムビア,0,1,その他
2013-07-25,日本コロムビア,ビーストサーガ 最強激突コロシアム!,2,YES,その他,日本コロムビア,0,1,その他
2013-07-25,レベルファイブ,ファンタジーライフ LINK!,2,YES,その他,レベルファイブ,0,1,その他
2013-07-25,カプコン,逆転裁判5 Phoenix Wright: Ace Attorney − Dual Destinies,2,YES,その他,カプコン,0,1,その他
2013-07-31,ディースリー・パブリッシャー,@SIMPLE DLシリーズ Vol.14 THE 密室からの脱出 〜裏切りの密室〜,2,,その他,ディースリー・パブリッシャー,0,1,その他
2013-07-31,ゲームフリーク,ソリティ馬 Pocket Card Jockey,2,,その他,ゲームフリーク,0,1,その他
2013-08-01,エム・ティー・オー,おしゃれな仔犬3D,2,YES,その他,エム・ティー・オー,0,1,その他
2013-08-01,バンダイナムコゲームス Nintendo,ディズニー マジックキャッスル マイ・ハッピー・ライフ Disney Magical World,2,YES,その他,バンダイナムコゲームス Nintendo,0,1,その他
2013-08-01,バンダイナムコゲームス,ドキドキ!プリキュア なりきりライフ!,2,YES,その他,バンダイナムコゲームス,0,1,その他
2013-08-07,セガ,3D ザ・スーパー忍II 3D Shinobi III: Return of the Ninja Master,2,,その他,セガ,0,1,その他
2013-08-07,ディースリー・パブリッシャー,@SIMPLE DLシリーズ Vol.15 THE 麻雀,2,,その他,ディースリー・パブリッシャー,0,1,その他
2013-08-07,メディア・ファイブ,マル合格! 秘書検定,2,,その他,メディア・ファイブ,0,1,その他
2013-08-07,ジニアス・ソノリティ,電波人間のRPG3 The Denpa Men 3: The Rise of the Digitoll,2,,その他,ジニアス・ソノリティ,0,1,その他
2013-08-08,ディースリー・パブリッシャー,SIMPLEシリーズ for ニンテンドー3DS Vol.1 THE 麻雀,2,YES,その他,ディースリー・パブリッシャー,0,1,その他
2013-08-08,任天堂,だるめしスポーツ店 Rusty's Real Deal Baseball,2,,その他,任天堂,0,1,その他
2013-08-08,ソニックパワード,ぼくは航空管制官 エアポートヒーロー3D 那覇 PREMIUM,2,YES,その他,ソニックパワード,0,1,その他
2013-08-08,バンダイナムコゲームス,ワンピース ROMANCE DAWN 冒険の夜明け One Piece: Romance Dawn,2,YES,その他,バンダイナムコゲームス,0,1,その他
2013-08-08,アークシステムワークス Natsume,熱血硬派くにおくんSP 乱闘協奏曲 River City: Tokyo Rumble,2,YES,その他,アークシステムワークス Natsume,0,1,その他
2013-08-08,バンダイナムコゲームス,獣電戦隊キョウリュウジャー ゲームでガブリンチョ!!,2,YES,その他,バンダイナムコゲームス,0,1,その他
2013-08-10,タカラトミーアーツ,ポケモントレッタラボ メインシステム,2,,その他,タカラトミーアーツ,0,1,その他
2013-08-21,セガ,3D ベア・ナックル 怒りの鉄拳 3D Streets of Rage,2,,その他,セガ,0,1,その他
2013-08-21,アークシステムワークス,Colors! 3D,2,,その他,アークシステムワークス,0,1,その他
2013-08-21,Collavier,もっと気軽に!お絵描き工房プラス,2,,その他,Collavier,0,1,その他
2013-08-21,メディア・ファイブ,グレコからの挑戦状! 計算の城とオバケたち かけ算,2,,その他,メディア・ファイブ,0,1,その他
2013-08-21,メディア・ファイブ,グレコからの挑戦状! 計算の城とオバケたち たし算,2,,その他,メディア・ファイブ,0,1,その他
2013-08-21,メディア・ファイブ,グレコからの挑戦状! 計算の城とオバケたち ひき算,2,,その他,メディア・ファイブ,0,1,その他
2013-08-21,メディア・ファイブ,グレコからの挑戦状! 計算の城とオバケたち わり算,2,,その他,メディア・ファイブ,0,1,その他
2013-08-21,テヨンジャパン,ロボットレスキュー3D,2,,その他,テヨンジャパン,0,1,その他
2013-08-22,スパイク・チュンソフト Atlus,CONCEPTIONII 七星の導きとマズルの悪夢 Conception II: Children of the Seven Stars,2,YES,その他,スパイク・チュンソフト Atlus,0,1,その他
2013-08-22,メディア・ファイブ,ナナミと一緒に学ぼ!English上達のコツ,2,YES,その他,メディア・ファイブ,0,1,その他
2013-08-28,ハムスター,ニコリのパズル ナンバーリンク,2,,その他,ハムスター,0,1,その他
2013-08-29,アスガルド,Starry☆Sky〜in Autumn〜3D,2,YES,その他,アスガルド,0,1,その他
2013-08-29,インターグロー Focus Home Interactive,シャーロック・ホームズ パズルシティ Sherlock Holmes and The Mystery of the Frozen City,2,YES,その他,インターグロー Focus Home Interactive,0,1,その他
2013-09-04,ディースリー・パブリッシャー,@SIMPLE DLシリーズ Vol.16 THE 密室からの脱出 〜愉快なサルとファミレス編〜,2,,その他,ディースリー・パブリッシャー,0,1,その他
2013-09-04,アークシステムワークス,リトルドールプリンセス 〜料理編〜,2,,その他,アークシステムワークス,0,1,その他
2013-09-05,スターフィッシュ・エスディ,エルミナージュ ゴシック 3D REMIX 〜ウルム・ザキールと闇の儀式〜,2,YES,その他,スターフィッシュ・エスディ,0,1,その他
2013-09-11,フライハイワークス Circle Entertainment,ブランチ☆パニック! Brunch Panic,2,,その他,フライハイワークス Circle Entertainment,0,1,その他
2013-09-14,カプコン,モンスターハンター4,2,YES,その他,カプコン,0,1,その他
2013-09-19,インターグロー Cerasus Media,ジュエルマスター Jewel Link: Legends of Atlantis 3D,2,YES,その他,インターグロー Cerasus Media,0,1,その他
2013-09-19,バンダイナムコゲームス,ムシブギョー,2,YES,その他,バンダイナムコゲームス,0,1,その他
2013-09-19,コーエーテクモゲームス,三國志,2,YES,その他,コーエーテクモゲームス,0,1,その他
2013-09-19,コーエーテクモゲームス,信長の野望,2,YES,その他,コーエーテクモゲームス,0,1,その他
2013-09-26,オフィスクリエイト Majesco Entertainment,ガーデニングママ:ママと森のなかまたち Gardening Mama 2: Forest Friends,2,YES,その他,オフィスクリエイト Majesco Entertainment,0,1,その他
2013-09-26,スパイク・チュンソフト Disney Interactive Studios,ディズニー エピックミッキー:ミッキーのふしぎな冒険 Epic Mickey: The Power of Illusion,2,YES,その他,スパイク・チュンソフト Disney Interactive Studios,0,1,その他
2013-09-26,ソニックパワード,鉄道にっぽん!路線たび 長良川鉄道編,2,YES,その他,ソニックパワード,0,1,その他
2013-09-26,バンダイナムコゲームス,魔界王子 devils and realist 代理王の秘宝,2,YES,その他,バンダイナムコゲームス,0,1,その他
2013-10-02,ディースリー・パブリッシャー,@SIMPLE DLシリーズ Vol.17 THE オセロ,2,,その他,ディースリー・パブリッシャー,0,1,その他
2013-10-03,バンダイナムコゲームス,SPEC〜干〜,2,YES,その他,バンダイナムコゲームス,0,1,その他
2013-10-12,ポケモン Nintendo,ポケットモンスター X Pokémon X,2,YES,その他,ポケモン Nintendo,0,1,その他
2013-10-12,ポケモン Nintendo,ポケットモンスター Y Pokémon Y,2,YES,その他,ポケモン Nintendo,0,1,その他
2013-10-16,フライハイワークス,ワケダス,2,,その他,フライハイワークス,0,1,その他
2013-10-17,バンダイナムコゲームス,戦闘中 伝説の忍とサバイバルバトル!,2,YES,その他,バンダイナムコゲームス,0,1,その他
2013-10-24,セガ,ソニック ロストワールド,2,YES,その他,セガ,0,1,その他
2013-10-30,ディースリー・パブリッシャー,@SIMPLE DLシリーズ Vol.18 THE 将棋,2,,その他,ディースリー・パブリッシャー,0,1,その他
2013-10-30,ディースリー・パブリッシャー,@SIMPLE DLシリーズ Vol.19 THE 囲碁,2,,その他,ディースリー・パブリッシャー,0,1,その他
2013-10-30,ディースリー・パブリッシャー,@SIMPLE DLシリーズ Vol.20 THE カード 〜大富豪 ポーカー ブラックジャック〜,2,,その他,ディースリー・パブリッシャー,0,1,その他
2013-10-30,ディースリー・パブリッシャー,@SIMPLE DLシリーズ Vol.21 THE 鑑識官 〜File.1 緊急捜査!重要証拠をタッチせよ!〜,2,,その他,ディースリー・パブリッシャー,0,1,その他
2013-10-30,アークシステムワークス Big John Games,ビッグバス アーケード Big Bass Arcade: No Limit,2,,その他,アークシステムワークス Big John Games,0,1,その他
2013-10-31,アスガルド,Starry☆Sky〜in Winter〜3D,2,YES,その他,アスガルド,0,1,その他
2013-10-31,レベルファイブ,ダンボール戦機ウォーズ,2,YES,その他,レベルファイブ,0,1,その他
2013-11-06,ディースリー・パブリッシャー,@SIMPLE DLシリーズ Vol.22 THE 歩兵 〜戦場の犬たち〜,2,,その他,ディースリー・パブリッシャー,0,1,その他
2013-11-06,テヨンジャパン 欧州: Funbox Media,アウトドアズ・アンリーシュド アフリカ3D Outdoors Unleashed: Africa 3D,2,,その他,テヨンジャパン 欧州: Funbox Media,0,1,その他
2013-11-06,メディア・ファイブ,グレコからの挑戦状! 英単語の島とオバケたち STEP1,2,,その他,メディア・ファイブ,0,1,その他
2013-11-06,メディア・ファイブ,グレコからの挑戦状! 英単語の島とオバケたち STEP2,2,,その他,メディア・ファイブ,0,1,その他
2013-11-07,バンダイナムコゲームス,たまごっち!せーしゅんのドリームスクール,2,YES,その他,バンダイナムコゲームス,0,1,その他
2013-11-07,フリュー,エクステトラ,2,YES,その他,フリュー,0,1,その他
2013-11-07,カルチャーブレーン,キャラペット つくって!そだでて!キャラクター小学校,2,YES,その他,カルチャーブレーン,0,1,その他
2013-11-07,バンダイナムコゲームス,バンダイナムコゲームスPRESENTS Jレジェンド列伝,2,YES,その他,バンダイナムコゲームス,0,1,その他
2013-11-07,角川ゲームス,メタルマックス4 月光のディーヴァ,2,YES,その他,角川ゲームス,0,1,その他
2013-11-13,インターグロー WayForward Technologies,マイティー スイッチ フォース!,2,,その他,インターグロー WayForward Technologies,0,1,その他
2013-11-14,フリュー,ジュエルペット カフェで魔法のクッキング!,2,YES,その他,フリュー,0,1,その他
2013-11-14,小学館,ドラちえ ミニドラ音楽隊と7つの知恵,2,YES,その他,小学館,0,1,その他
2013-11-14,ロケットカンパニー,メダロットDUAL カブトVer.,2,YES,その他,ロケットカンパニー,0,1,その他
2013-11-14,ロケットカンパニー,メダロットDUAL クワガタVer.,2,YES,その他,ロケットカンパニー,0,1,その他
2013-11-14,アルケミスト,モデル☆おしゃれオーディション ドリームガール,2,YES,その他,アルケミスト,0,1,その他
2013-11-14,コナミデジタルエンタテインメント,ワールドサッカー ウイニングイレブン 2014,2,YES,その他,コナミデジタルエンタテインメント,0,1,その他
2013-11-14,任天堂,大合奏!バンドブラザーズP,2,YES,その他,任天堂,0,1,その他
2013-11-14,アークシステムワークス,星霜のアマゾネス,2,YES,その他,アークシステムワークス,0,1,その他
2013-11-20,メディア・ファイブ,グレコからの挑戦状! 英単語の島とオバケたち STEP3,2,,その他,メディア・ファイブ,0,1,その他
2013-11-20,メディア・ファイブ,グレコからの挑戦状! 英単語の島とオバケたち STEP4,2,,その他,メディア・ファイブ,0,1,その他
2013-11-20,インターグロー Image & Form（英語版）,スチームワールド ディグ,2,,その他,インターグロー Image & Form（英語版）,0,1,その他
2013-11-20,ジュピター,ピクロスe4,2,,その他,ジュピター,0,1,その他
2013-11-21,任天堂,いっしょにフォト どうぶつの森,2,,その他,任天堂,0,1,その他
2013-11-21,バンダイナムコゲームス,アイカツ! 2人のmy princess,2,YES,その他,バンダイナムコゲームス,0,1,その他
2013-11-21,オフィスクリエイト 北米: Majesco Entertainment 欧州: Nintendo,クッキングママ5 Cooking Mama 5: Bon Appétit!,2,YES,その他,オフィスクリエイト 北米: Majesco Entertainment 欧州: Nintendo,0,1,その他
2013-11-21,バンダイナムコゲームス,ワンピース アンリミテッドワールドR One Piece: Unlimited World Red,2,YES,その他,バンダイナムコゲームス,0,1,その他
2013-11-27,ディースリー・パブリッシャー,@SIMPLE DLシリーズ Vol.23 THE 鑑識官 〜File.2 緊急出動!落ちたホシを追え!〜,2,,その他,ディースリー・パブリッシャー,0,1,その他
2013-11-27,フライハイワークス Tate Multimedia（英語版）,アーバントライアル: フリースタイル,2,,その他,フライハイワークス Tate Multimedia（英語版）,0,1,その他
2013-11-27,甲南電機製作所 Teyon,エクスケーブ Excave,2,,その他,甲南電機製作所 Teyon,0,1,その他
2013-11-27,アークシステムワークス,ゲームざんまい,2,,その他,アークシステムワークス,0,1,その他
2013-11-27,任天堂,ニンテンドー3DSガイド ルーヴル美術館,2,YES,その他,任天堂,0,1,その他
2013-11-27,ジースタイル,極めろ!瞬間ジャンプ検定,2,,その他,ジースタイル,0,1,その他
2013-11-28,日本コロムビア,わんニャンペットショップ,2,YES,その他,日本コロムビア,0,1,その他
2013-11-28,バンダイナムコゲームスDisney Interactive Studios,ディズニー インフィニティ トイ・ボックス・チャレンジ,2,YES,その他,バンダイナムコゲームスDisney Interactive Studios,0,1,その他
2013-11-28,バンダイナムコゲームス,トリコ アルティメットサバイバル,2,YES,その他,バンダイナムコゲームス,0,1,その他
2013-11-28,タカラトミーアーツ,プリティーリズム レインボーライブ きらきらマイ☆デザイン,2,YES,その他,タカラトミーアーツ,0,1,その他
2013-11-28,バンダイナムコゲームス,仮面ライダー トラベラーズ戦記,2,YES,その他,バンダイナムコゲームス,0,1,その他
2013-11-28,セガ,初音ミク Project mirai 2,2,YES,その他,セガ,0,1,その他
2013-11-28,アルケミスト,子供に安心して与えられるゲームシリーズ 世界名作童話 親子で読めるゲーム絵本 プリンセス編,2,YES,その他,アルケミスト,0,1,その他
2013-11-28,アルケミスト,子供に安心して与えられるゲームシリーズ 世界名作童話 親子で読めるゲーム絵本 冒険編,2,YES,その他,アルケミスト,0,1,その他
2013-11-28,クロン,難攻不落三国伝〜蜀と時の銅雀〜,2,YES,その他,クロン,0,1,その他
2013-12-02,任天堂,いっしょにフォト ピクミン,2,,その他,任天堂,0,1,その他
2013-12-04,アークシステムワークス,リトルドールプリンセス 〜おやつ編〜,2,,その他,アークシステムワークス,0,1,その他
2013-12-04,アムジー,燐光のランツェ,2,,その他,アムジー,0,1,その他
2013-12-04,アークシステムワークス,脱出アドベンチャー 悪夢の死神列車,2,,その他,アークシステムワークス,0,1,その他
2013-12-05,レベルファイブ,イナズマイレブンGO ギャラクシー スーパーノヴァ,2,YES,その他,レベルファイブ,0,1,その他
2013-12-05,レベルファイブ,イナズマイレブンGO ギャラクシー ビッグバン,2,YES,その他,レベルファイブ,0,1,その他
2013-12-05,カプコン,ガイストクラッシャー,2,YES,その他,カプコン,0,1,その他
2013-12-05,スクウェア・エニックス,ブレイブリーデフォルト フォー・ザ・シークウェル,2,YES,その他,スクウェア・エニックス,0,1,その他
2013-12-05,スパイク・チュンソフト,進撃の巨人〜人類最後の翼〜 Attack on Titan: Humanity in Chains,2,YES,その他,スパイク・チュンソフト,0,1,その他
2013-12-05,コナミデジタルエンタテインメント,遊戯王ZEXAL 激突! デュエルカーニバル! Yu-Gi-Oh! Zexal: World Duel Carnival,2,YES,その他,コナミデジタルエンタテインメント,0,1,その他
2013-12-11,ポイソフト,王だぁランド!,2,,その他,ポイソフト,0,1,その他
2013-12-11,アークシステムワークス Nnooo,電脳からの脱出 escapeVektor,2,,その他,アークシステムワークス Nnooo,0,1,その他
2013-12-12,ディースリー・パブリッシャー,VitaminZ Revolution,2,YES,その他,ディースリー・パブリッシャー,0,1,その他
2013-12-12,日本コロムビア,こびとづかん こびとの不思議 実験セット,2,YES,その他,日本コロムビア,0,1,その他
2013-12-12,ソニックパワード,キラメキ わくわくスイーツ Waku Waku Sweets: Happy Sweets Making,2,YES,その他,ソニックパワード,0,1,その他
2013-12-12,エクサム 北米: Bergsala Lightweight 欧州: Rising Star Games,ハローキティとまほうのエプロン リズムクッキング♪ Hello Kitty's Magic Apron,2,YES,その他,エクサム 北米: Bergsala Lightweight 欧州: Rising Star Games,0,1,その他
2013-12-12,ガンホー・オンライン・エンターテイメント,パズドラZ,2,YES,その他,ガンホー・オンライン・エンターテイメント,0,1,その他
2013-12-12,トイボックス 北米: Natsume 欧州: Rising Star Games,ホームタウンストーリー,2,YES,その他,トイボックス 北米: Natsume 欧州: Rising Star Games,0,1,その他
2013-12-18,セガ,3D アフターバーナーII,2,,その他,セガ,0,1,その他
2013-12-18,フライハイワークス QubicGames,Aiレース:スピード,2,,その他,フライハイワークス QubicGames,0,1,その他
2013-12-18,アークシステムワークス,SWORDS & DARKNESS,2,,その他,アークシステムワークス,0,1,その他
2013-12-18,アークシステムワークス,WORLD CONQUEROR 3D,2,,その他,アークシステムワークス,0,1,その他
2013-12-18,スパイシーソフト,チャリ走DX2 ギャラクシー Bike Rider DX2: Galaxy,2,,その他,スパイシーソフト,0,1,その他
2013-12-18,フライハイワークス CIRCLE Entertainment,プチノベル「収穫の十二月」 Petit Novel series: Harvest December,2,,その他,フライハイワークス CIRCLE Entertainment,0,1,その他
2013-12-19,カルチャーブレーン,おしゃべりうさぎ おしゃれコレクション,2,YES,その他,カルチャーブレーン,0,1,その他
2013-12-19,ソニックパワード,ぼくは航空管制官 エアポートヒーロー3D 新千歳 with JAL,2,YES,その他,ソニックパワード,0,1,その他
2013-12-19,角川ゲームス,ハイスクールD×D,2,YES,その他,角川ゲームス,0,1,その他
