発売日,メーカー,タイトル,⭐クロスレビュー(評価),パッケージ併売,ジャンル,開発元,未使用,販売本数,プラットフォーム
2023-11-29,Whale Rock Games,Heavy Burden,2,,その他,Whale Rock Games,0,1,Xbox One
2023-11-29,Xbox Game Studios,Killer Instinct: Anniversary Edition,2,,その他,Xbox Game Studios,0,1,Xbox One
2023-11-29,Eastasiasoft Limited,The Traveler's Path,2,,その他,Eastasiasoft Limited,0,1,Xbox One
2023-11-30,JanduSoft,Crashy Laps,2,,その他,JanduSoft,0,1,Xbox One
2023-11-30,Graffiti Games,Elderand,2,,その他,Graffiti Games,0,1,Xbox One
2023-11-30,Nacon,Gangs of Sherwood,2,,その他,Nacon,0,1,Xbox One
2023-11-30,Baltoro Games,Pixel Cafe,2,,その他,Baltoro Games,0,1,Xbox One
2023-11-30,Aerosoft GmbH,Truck and Logistics Simulator,2,,その他,Aerosoft GmbH,0,1,Xbox One
2023-11-30,IKINA GAMES,今、私たちの学校は,2,,その他,IKINA GAMES,0,1,Xbox One
2023-12-01,Serenity Forge,Arcadian Atlas,2,,その他,Serenity Forge,0,1,Xbox One
2023-12-01,BlitWorks,Kingdoms and Castles,2,,その他,BlitWorks,0,1,Xbox One
2023-12-01,Thunderful Publishing,SteamWorld Build,2,,その他,Thunderful Publishing,0,1,Xbox One
2023-12-01,Nightdive Studios,Turok 3: Shadow of Oblivion Remastered,2,,その他,Nightdive Studios,0,1,Xbox One
2023-12-04,Secret Mode,Make Way,2,,その他,Secret Mode,0,1,Xbox One
2023-12-07,Joindots GmbH,Fall of the New Age - Collectors Edition,2,,その他,Joindots GmbH,0,1,Xbox One
2023-12-07,United Games Entertainment GmbH,Irem Collection Volume 1,2,,その他,United Games Entertainment GmbH,0,1,Xbox One
2023-12-07,ININ GAMES,コットン100％,2,,その他,ININ GAMES,0,1,Xbox One
2023-12-07,ININ GAMES,パノラマコットン,2,,その他,ININ GAMES,0,1,Xbox One
2023-12-07,ININ GAMES,奇々怪界 黒マントの謎,2,,その他,ININ GAMES,0,1,Xbox One
2023-12-07,ININ GAMES,時計じかけのアクワリオ,2,,その他,ININ GAMES,0,1,Xbox One
2023-12-08,Feardemic,Evil Nun: The Broken Mask（イービル・ナン：ザ・ブロークン・マスク）,2,,その他,Feardemic,0,1,Xbox One
2023-12-08,ラタライカゲームス,Fearmonium,2,,その他,ラタライカゲームス,0,1,Xbox One
2023-12-08,Klabater,Ruinarch,2,,その他,Klabater,0,1,Xbox One
