id,release_date,title,publisher,bit_memory,price
1598,2010-04-15,できたよ!ママ。みつごのクマさん おとこのこ,スターフィッシュ・エスディ,128 Mb,3800
1599,2010-04-15,できたよ!ママ。みつごのクマさん おんなのこ,スターフィッシュ・エスディ,128 Mb,3800
1600,2010-04-15,マリー&ガリーのLet'sさいえんす,ドラス,128 Mb,4200
1601,2010-04-22,IVY THE KIWI?,バンダイナムコゲームス,64 Mb,3800
1602,2010-04-22,きれいずきん生活,コロムビアミュージックエンタテインメント,256 Mb,4800
1603,2010-04-22,NARUTO -ナルト- 疾風伝 忍術全開!チャクラッシュ!!,タカラトミー,512 Mb,4800
1604,2010-04-28,ドラゴンクエストモンスターズ ジョーカー2,スクウェア・エニックス,1 Gb,5490
1605,2010-04-29,家庭教師ヒットマンREBORN!DS フェイトオブヒートIII 雪の守護者 来襲!,タカラトミー,512 Mb,4800
1606,2010-04-29,コスメちっく☆パラダイス 〜キレイのマホウ〜,GAE,512 Mb,3800
1607,2010-04-29,Rooms 不思議な動く部屋,ハドソン,128 Mb,3800
1608,2010-05-13,TRICK DS版 〜隠し神の棲む館〜,コナミデジタルエンタテインメント,512 Mb,5000
1609,2010-05-20,キャプテン翼 激闘の軌跡,コナミデジタルエンタテインメント,1 Gb,5000
1610,2010-05-20,ティンカー・ベルと月の石,ディズニー・インタラクティブ・スタジオ,512 Mb,4800
1611,2010-05-20,みんなで読書DS なるほど!楽しい生活の裏ワザ隠ワザ,ドラス,256 Mb,3800
1612,2010-05-27,くにおくんの超熱血!サッカーリーグぷらす ワールド・ハイパー・カップ編,アークシステムワークス,128 Mb,3980
1613,2010-05-27,サカつくDS ワールドチャレンジ2010,セガ,1 Gb,5500
1614,2010-05-27,G.Gシリーズ コレクション+,Genterprise,512 Mb,4800
1615,2010-05-27,スーパーロボット大戦OGサーガ 魔装機神 THE LORD OF ELEMENTAL,バンダイナムコゲームス,512 Mb,5800
1616,2010-05-27,世界の果てまでイッテQ! 珍獣ハンターイモトの大冒険,カムイ,512 Mb,4800
1617,2010-05-27,メダロットDS カブトバージョン,ロケットカンパニー,1 Gb,4800
1618,2010-05-27,メダロットDS クワガタバージョン,ロケットカンパニー,1 Gb,4800
1619,2010-05-27,夢色パティシエール マイスイーツ☆クッキング,コナミデジタルエンタテインメント,512 Mb,5000
1620,2010-06-03,怪談レストラン 裏メニュー100選,バンダイナムコゲームス,256 Mb,4242
1621,2010-06-03,必勝パチンコ★パチスロ攻略シリーズDS Vol.5 新世紀エヴァンゲリオン 〜魂の軌跡〜,ディースリー・パブリッシャー,2 Gb,5200
1622,2010-06-10,マル合格資格奪取! 行政書士試験,メディア・ファイブ,1 Gb,4200
1623,2010-06-10,ロックマン ゼロ コレクション,カプコン,512 Mb,3990
1624,2010-06-17,青ドンDS 花火の極＆花火の匠,コムシード,2 Gb,4800
1625,2010-06-17,こちら葛飾区亀有公園前派出所 勝てば天国!負ければ地獄!両津流 一攫千金大作戦!,バンダイナムコゲームス,512 Mb,4800
1626,2010-06-17,たまごっちのピチピチおみせっち,バンダイナムコゲームス,512 Mb,4800
1627,2010-06-19,絵心教室DS,任天堂,256 Mb,2800
1628,2010-06-19,ゴースト トリック,カプコン,1 Gb,4800
1629,2010-06-24,一般財団法人 日本漢字習熟度検定機構公認 漢熟検DS,ナウプロダクション,128 Mb,3400
1630,2010-06-24,ときめきメモリアル Girl's Side 3rd Story,コナミデジタルエンタテインメント,4 Gb,5000
1631,2010-06-24,マル合格資格奪取! FP（ファイナンシャル・プランニング）技能検定試験2級・3級,メディアファイブ,512 Mb,4800
1632,2010-06-24,ラブプラス+,コナミデジタルエンタテインメント,4 Gb,4800
1633,2010-07-01,マミートークDS,インテリジェントデザイン,2 Gb,4800
1634,2010-07-01,エルミナージュII DS REMIX〜双生の女神と運命の大地〜,スターフィッシュ・エスディ,1 Gb,4800
1635,2010-07-01,イナズマイレブン3 世界への挑戦!! スパーク,レベルファイブ,4 Gb,4980
1636,2010-07-01,イナズマイレブン3 世界への挑戦!! ボンバー,レベルファイブ,4 Gb,4980
1637,2010-07-01,太鼓の達人DS ドロロン!ヨーカイ大決戦!!,バンダイナムコゲームス,512 Mb,4800
1638,2010-07-01,デジモンストーリー ロストエボリューション,バンダイナムコゲームス,512 Mb,4800
1639,2010-07-08,トイ・ストーリー3,ディズニー・インタラクティブ・スタジオ,512 Mb,4800
1640,2010-07-08,牧場物語 ふたごの村,マーベラスエンターテイメント,1 Gb,4800
1641,2010-07-15,踊る大捜査線 THE GAME 潜水艦に潜入せよ!,バンダイナムコゲームス,512 Mb,4980
1642,2010-07-15,ケシカスくん バトルカスティバル,コナミデジタルエンタテインメント,256 Mb,5000
1643,2010-07-15,ファイアーエムブレム 新・紋章の謎 〜光と影の英雄〜,任天堂,1 Gb,4800
1644,2010-07-15,メタルファイト ベイブレード 爆神スサノオ襲来!,ハドソン,512 Mb,4980
1645,2010-07-22,家庭教師ヒットマンREBORN!DS フレイムランブルXX（ダブルイクス）超決戦!真6弔花!!,タカラトミー,1 Gb,4800
1646,2010-07-22,クイズ!ヘキサゴンII,バンダイナムコゲームス,512 Mb,4800
1647,2010-07-22,TVアニメフェアリーテイル 激闘!魔導士決戦,ハドソン,512 Mb,4980
1648,2010-07-22,山手線命名100周年記念 電車でGO!特別編 〜復活!昭和の山手線〜,スクウェア・エニックス,512 Mb,5480
1649,2010-07-29,ウィザードリィ 〜忘却の遺産〜,Genterprise,512 Mb,4980
1650,2010-07-29,仮面ライダーバトル ガンバライド カードバトル大戦,バンダイナムコゲームス,512 Mb,4800
1651,2010-07-29,好きです鈴木くん!! 4人の鈴木くん,アイディアファクトリー,512 Mb,4800
1652,2010-07-29,メタルマックス3,角川ゲームス,512 Mb,5800
1653,2010-07-29,Let's! まんが家DS Style,コロムビアミュージックエンタテインメント,128 Mb,4800
1654,2010-08-05,ジュエルペット 〜魔法のお部屋でいっしょにあそぼう!〜,エム・ティー・オー,256 Mb,4800
1655,2010-08-05,「超」怖い話DS 青の章,アルケミスト,1 Gb,4800
1656,2010-08-05,テトリスパーティープレミアム,ハドソン,256 Mb,3800
1657,2010-08-05,ハートキャッチプリキュア!おしゃれコレクション,バンダイナムコゲームス,512 Mb,4800
1658,2010-08-05,バトルスピリッツ デジタルスターター,バンダイナムコゲームス,512 Mb,4800
1659,2010-08-05,まめゴマ3 〜かわいいがいっぱい!〜,コロムビアミュージックエンタテインメント,128 Mb,4800
1660,2010-08-19,みんなで体感読書DS チョーこわ～い! 学校の怪談,ドラス,128 Mb,3800
1661,2010-08-19,リルぷりっDS ひめチェン!アップルピンク,セガ,1 Gb,4800
1662,2010-08-26,ペ・ヨンジュンと学ぶ韓国語DS デート編,ディースリー・パブリッシャー,512 Mb,4800
1663,2010-08-26,ペ・ヨンジュンと学ぶ韓国語DS テスト編,ディースリー・パブリッシャー,512 Mb,4800
1664,2010-09-02,忍たま乱太郎 学年対抗戦パズル!の段,ラッセル,512 Mb,5480
1665,2010-09-02,本気で学ぶLECで合格るDS行政書士,スクウェア・エニックス,256 Mb,5800
1666,2010-09-02,マル合格資格奪取! 証券外務員二種,メディア・ファイブ,512 Mb,5800
1667,2010-09-02,マル合格資格奪取! 中小企業診断士試験,メディア・ファイブ,512 Mb,5800
1668,2010-09-09,ONE PIECE ギガントバトル!,バンダイナムコゲームス,512 Mb,4800
1669,2010-09-16,マネパ1000万人のFXトレーニング 〜レバレッジ規制対応版〜,元気,512 Mb,3800
1670,2010-09-18,ポケットモンスター ブラック,ポケモン・任天堂,2 Gb,4800
1671,2010-09-18,ポケットモンスター ホワイト,ポケモン・任天堂,2 Gb,4800
1672,2010-09-23,上海DS2,サンソフト,64 Mb,3800
1673,2010-09-23,じゃかじゃかミュージック!,プラト,1 Gb,4800
1674,2010-09-30,大神伝 〜小さき太陽〜,カプコン,1 Gb,4800
1675,2010-09-30,探偵 神宮寺三郎DS 赤い蝶,アークシステムワークス,512 Mb,3980
1676,2010-09-30,閉ざされた病棟 -DEMENTIUM II-,インターグロー,512 Mb,4800
1677,2010-10-07,キングダム ハーツ Re:コーデッド,スクウェア・エニックス,2 Gb,5490
1678,2010-10-07,天下一★戦国LOVERS DS,ロケットカンパニー,512 Mb,4800
1679,2010-10-07,マル合格資格奪取! 販売士検定試験2級・3級,メディア・ファイブ,512 Mb,4800
1680,2010-10-14,学研 タイ語・インドネシア語三昧DS,学研,512 Mb,3800
